GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	0.287044613137153	1	0.901275399652352	0.874812898037678	0.557979155872983	1	1
A1BG.AS1	0.334294273646958	0.508410860951889	1	1	0.318488108373479	1	0.473815877609123
A1CF	0.0588940057124337	0.738975100339936	1	0.914632236708413	0.793436765587072	1	1
A2M	0.0604761400951479	0.282991479591533	0.416478708988413	1	0.040494409656781	1	0.96692559417954
A2M.AS1	0.62752661077507	0.672145986358742	1	0.159161894894078	0.705195398607606	0.182684325497708	0.404802860368224
A2ML1	1	0.191552438341224	0.999793228402491	0.623336473391443	0.0310743581268776	0.431877141546328	1
A2MP1	0.745800996132036	0.281825115019995	0.557202655713287	0.389013636509039	1	0.283728450827181	1
A4GALT	0.51456302656321	0.585075411624715	1	0.963850291830456	1	1	0.632759217578437
A4GNT	0.854558777648003	0.960464171684656	1	0.402206954276161	0.14638706761288	1	0.444631650509778
AA06	1	0.459092047016289	1	0.0214946961210572	0.0749608050677429	1	0.368756174681898
AAAS	0.312909234853383	0.270995337440908	0.998608248995236	0.197437805390907	0.00135045192957017	0.413184272928988	0.280455774356082
AACS	1	1	0.634490499358054	0.0342407418694283	3.32618843761826e-11	1	0.594188451060061
AACSP1	1	1	0.993111214802278	1	0.0959765154817679	1	0.918850905337074
AADAC	1	0.241272893899631	0.457942655566849	0.219305587097598	0.00382447066146472	1	1
AADACL2	1	0.839039287656758	1	1	0.0468333597253215	1	0.579029807941454
AADACP1	1	0.675689089545007	1	0.13693010683622	0.438512162006039	0.89302183805065	1
AADAT	0.351502733526312	1	0.583121186461427	0.298543217244573	0.00122297108903486	1	0.0517748617757097
AAED1	0.0417989819628968	0.00613682181268899	1	3.01770353052339e-05	6.89337182409036e-20	0.528114059521355	0.254672106147093
AAGAB	0.220562808380418	4.94503427239267e-05	0.335928217342899	0.00014795264668091	1.39794453892737e-23	0.370510189845076	0.197828088311885
AAK1	1	0.32382550542242	0.53071949791315	0.194917427475939	5.23423437043236e-05	1	0.515495231990513
AAMDC	0.892043276592924	0.0382926522189357	0.531668222716819	0.160285772298615	2.25349585521156e-05	0.436714108123108	0.599281675143705
AAMP	0.412877680084676	0.04728816742672	1	0.715483678349342	0.000749804481233426	1	0.812051972134159
AANAT	1	0.773911789831674	0.9975042593865	1	2.78252289182015e-07	1	0.106106937412285
AAR2	0.912669507092262	0.882957175768808	0.889243924303851	0.182262517242972	0.0554256077147528	0.69516161778908	0.73189898867905
AARS	0.588662988088279	0.0181780852152924	0.502529062819601	1	0.000236658519499064	1	0.781344243041836
AARS2	0.249252964547374	0.757597211914948	1	0.0015799344562527	2.02316749087174e-06	0.145658454707292	0.29030267724097
AASDH	1	0.889944149144182	0.538184206075557	0.0622605895136581	1.32205862343765e-07	0.880606094559951	0.0402349677703692
AASDHPPT	0.463747638569552	0.0593313739549078	0.967624509400103	0.74437452194652	5.68550131144093e-09	0.998968315945875	1
AASS	1	0.996090511925951	1	0.339964360512819	0.0272148056665066	0.61336605229254	0.877451119531421
AATF	1	1	1	0.0456023036803573	0.000408105167049098	1	0.390234472003951
AATK	0.203010338325955	0.124954410431034	1	0.644243989628476	0.00143363250018032	0.851905765309439	0.931991167777019
AB488780	1	1	0.827667829616814	0.166015641080114	0.00309482298930655	1	0.406276355918118
ABAT	1.54113981405599e-16	4.2237346060052e-22	0.067044616048967	5.22582589029693e-24	3.87974829213253e-52	0.127211764665047	0.000833637107281505
ABCA1	1	1	1	0.496331240923568	0.0514230485125678	1	1
ABCA11P	0.244936309066479	1	0.927655883696612	1	0.121192602605151	1	0.41998569017384
ABCA12	1	0.677306136544957	1	0.0957815444299139	0.017274140781097	1	0.899642492312976
ABCA13	1	1	1	1	0.142705648582685	1	0.601613140228772
ABCA17P	1	0.222560014885528	0.526813808765678	1	0.0946459337816065	0.513235768026005	0.23364065444149
ABCA2	1	0.161992565996733	1	0.498070178173477	0.0717829220693079	0.0367156138635539	0.69723175997835
ABCA3	1	0.870432176666036	1	0.913681815098952	0.104574736806525	1	0.537735293573738
ABCA4	1	0.0682312572517742	1	1	0.938017074616512	1	1
ABCA5	1	0.978540560244063	0.0923560859674763	0.0940644594519448	0.00693121268597071	0.571732039916413	0.0148278719307061
ABCA6	0.274310592292584	1	0.837502180983885	0.6540490634017	0.119248992566936	1	1
ABCA7	0.353971150606878	0.00707217786701863	0.16081855766711	0.128463500919075	3.673912582988e-10	1	0.140712341353422
ABCA8	0.280323520181811	0.0521054453786607	1	0.997415472278175	0.00417749162396828	1	0.175138646518421
ABCA9	0.378289862662534	0.000566905272509355	1	0.830351422474084	8.10768131457335e-11	0.734696439666748	0.833038946596841
ABCB1	1	0.62789980483407	0.0305933331661192	0.000234274449117447	1.32418408841828e-05	1	0.412797956408503
ABCB10	0.96897931967169	0.00475356394845406	0.149200186014904	0.300335676099195	2.08011465019602e-07	1	0.801626621729396
ABCB11	0.443726758054361	0.98435726755376	0.817430081838642	0.564908368379295	0.980254139423141	0.884567262430268	0.790440452335665
ABCB4	0.683533535093001	0.00747977231580567	1	0.260511756092959	7.30024219926417e-07	1	0.0894993188617958
ABCB5	0.0590860787689953	1	1	0.991567508836638	0.117144281455191	1	1
ABCB6	1	0.0599475490415501	1	0.469879601529518	1.82797829893869e-09	1	1
ABCB7	1	0.17554801137692	1	0.446824224944255	0.00179065639229047	1	0.537371346574547
ABCB8	0.110587040183449	0.0588914582559113	1	1	0.340256921989499	0.633988344169597	1
ABCB9	0.334077478543918	1	1	0.00766471586320015	2.24984180495041e-11	1	0.59427338819048
ABCC1	1	0.83432376099884	1	0.00724130970103561	0.000108678540519638	1	0.209052929523256
ABCC10	0.998922912854786	0.997023992937937	1	0.9977846397681	0.0123660193916256	1	0.300109679771188
