"Mixture"	"Neutrophils"	"Fibroblasts"	"Melanoma"	"Macrophage"	"Keratinocytes"	"T_cell"	"Endothelial"
"GSM198875"	"0.102466519905861"	"0.12878434833514"	"0"	"0.184569680328218"	"0.576000704364982"	"0.000968592726552943"	"0.00817874706579804"
"GSM198876"	"0.117556494946365"	"0.197662930919254"	"0"	"0.201330164277015"	"0.468922551585521"	"0.000706109077785223"	"0.0145278582718448"
"D_8_17_6"	"0.0929326361166996"	"0.154337492187537"	"0"	"0.142469118537538"	"0.610260753158225"	"0.00148902132366997"	"0"
"D_8_17_40"	"0.0797880653277282"	"0.100399875418543"	"0.0072551691711503"	"0.136331031876313"	"0.670274108202025"	"0.00181509255136049"	"0.00595175000424058"
"D_8_17_50"	"0.0870191190117123"	"0.161558459137256"	"0.0264578021477137"	"0.131541286887081"	"0.582298655304036"	"0.000330409581768214"	"0.0111246775122018"
"D_8_17_145"	"0.0898944913794738"	"0.140034360179084"	"0.00717680230546427"	"0.121858852822363"	"0.641035493313615"	"0.00114215571117096"	"0"
"D_8_17_62"	"0.0661345847305295"	"0.158323228225645"	"0.0021315335760674"	"0.148782422421554"	"0.602739667058248"	"0.0220457574080074"	"0"
"D_8_17_72"	"0.0784650041580866"	"0.176546949002854"	"0"	"0.144103619461716"	"0.570791997676454"	"0.00206540724349232"	"0.0300924297008897"
"D_8_17_147"	"0.067495151927705"	"0.135807990208985"	"0"	"0.123651689468866"	"0.673045168394444"	"0.0004405468764913"	"0"
"D_8_17_104"	"0.0615935490385642"	"0.127560985539793"	"0"	"0.153578604465221"	"0.655669304803937"	"0.000174734886035588"	"0.00142677454604378"
"D_8_17_25"	"0.100090686114484"	"0.169649299667378"	"0.00177316835795703"	"0.150536357245556"	"0.547094598589295"	"0.000537116047465204"	"0.0308558900253304"
"D_8_17_80"	"0.0983590463356155"	"0.205617193133931"	"0"	"0.156916171434119"	"0.513441260007887"	"1.26045309065822e-05"	"0.0256663290884479"
