Mixture	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial	P-value	Correlation	RMSE
GSM198875	0.102483509191452	0.128477170937382	0	0.184552808599645	0.576241950347295	0	0	0.00824456092422498	9999	0.484792547950363	0.886247127659495
GSM198876	0.117638732114514	0.197933593718176	0	0.20085438913931	0.469080246684157	0	0	0.0144930383438422	9999	0.46434612771317	0.894052529385105
D_8_17_81	0.0689724953130492	0.132336198152239	0.00128269594121319	0.136425159573636	0.654022036918877	0	0	0.00696141410098549	9999	0.550823165431275	0.866336115704201
D_8_17_171	0.0953392331314264	0.132782614936173	0	0.123919259856559	0.638239872054955	0	0	0.0097190200208859	9999	0.494330614725274	0.883410274919992
D_8_17_115	0.0810758430257514	0.190326755179145	0	0.160866584297066	0.539415973405977	0	0	0.0283148440920605	9999	0.484044422388907	0.894741285581885
D_8_17_52	0.0541744558016482	0.146883958444342	0	0.124672801137458	0.636358528764039	0	0	0.0379102558525128	9999	0.502723195738224	0.889339028506796
D_8_17_90	0.0695961670019885	0.114703142835458	0	0.142219200188075	0.667746120833091	0.0057353691413876	0	0	9999	0.52812905439172	0.873103857838862
D_8_17_53	0.0773202937883456	0.143824134344072	0	0.115452260134771	0.660092840473636	0.00331047125917565	0	0	9999	0.509870586194815	0.880171009097323
D_8_17_10	0.0714373482107943	0.195869259958715	0	0.141821993426652	0.561257606949147	0.000239189150890754	0	0.0293746023038016	9999	0.483654947727509	0.896723999114214
D_8_17_17	0.0833390505111116	0.192132867467851	0	0.161825770226367	0.527887906019468	0	0	0.0348144057752025	9999	0.425121535719901	0.914703463946858
D_8_17_173	0.0757377484874103	0.138786564738616	0.0140327350287413	0.150168786322014	0.609170081609916	0	0	0.0121040838133024	9999	0.500545131468463	0.886265746572032
D_8_17_75	0.0798855832988947	0.135506784144742	0	0.174242779385619	0.596760490411993	0	0	0.0136043627587521	9999	0.510558444816608	0.881257505537447
D_8_17_66	0.0849247967440635	0.124848390335707	0	0.163339416433816	0.615069715134715	0	0	0.0118176813516983	9999	0.494321167763726	0.885488249279424
D_8_17_44	0.0842254604471308	0.151257691492626	0	0.153869331055645	0.599608605080644	0	0	0.0110389119239538	9999	0.509347521492934	0.881430770616603
D_8_17_141	0.084354227623243	0.131068330429204	0	0.133120062855627	0.631067914995102	0	0	0.0203894640968244	9999	0.47670402619864	0.892587907875977
D_8_17_80	0.0985905493466067	0.205538229535948	0	0.156957970039871	0.513243020831295	0	0	0.0256702302462785	9999	0.382376380540235	0.927325383628614
D_8_17_43	0.0886863418444636	0.118643830140269	0	0.13760042565549	0.651174604075159	0	0	0.00389479828461754	9999	0.519175821500819	0.873793836762914
D_8_17_79	0.0816028070595321	0.112093246342603	0	0.106748758870529	0.697474981030235	0	0	0.00208020669710107	9999	0.441077061312687	0.904217696511347
