GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	NA	NA	0	NA	NA	NA	NA
A1BG.AS1	273.881512462107	62.4878171659661	NA	NA	47.5871005901197	0	0
A1CF	NA	1	1	NA	122.619694796455	NA	1
A2M	1	8197.52040047321	NA	9855.0174362787	8019.43160465121	NA	1
A2M.AS1	660.767400037063	NA	705.147763318502	NA	119.123523725132	2049.77117755509	1054.02858849234
A2ML1	3858.89457990064	NA	NA	NA	1201.90571911538	NA	9583.70242614856
A2MP1	0	NA	5164.19229343766	NA	NA	0	2061.64781535166
A4GALT	215.172818969005	199.637121247347	532.935922754488	216.015917245894	101.790478428925	NA	NA
A4GNT	NA	124.061657059458	NA	NA	87.7063197174059	NA	NA
AA06	NA	NA	1367.35013441886	NA	188.159382149542	NA	NA
AAAS	NA	NA	NA	NA	493.986377874841	0	NA
AACS	1	NA	1	NA	2195.64425558555	NA	NA
AACSP1	NA	26.5064328576299	NA	69.9020321538726	20.4343179344843	285.56743872954	NA
AADAC	NA	NA	NA	NA	473.326154618968	NA	6150.51714420163
AADACL2	NA	1632.65985508166	NA	NA	1411.40908095691	NA	NA
AADACP1	116.530118201389	0	NA	0	NA	NA	0
AADAT	624.306377563513	NA	1346.30662016978	NA	NA	1520.27143020239	NA
AAED1	2406.7805086969	1149.51264208901	NA	NA	867.960604876707	NA	0
AAGAB	NA	1	NA	1	868.558950673133	1	1
AAK1	NA	NA	18617.7297426211	NA	1534.46491603442	NA	NA
AAMDC	NA	NA	NA	NA	668.911870853629	6533.769109528	NA
AAMP	4290.67838385463	2493.52685290942	NA	NA	NA	NA	NA
AANAT	0	0	0	0	29.2614163393435	NA	NA
AAR2	2761.97913792342	2039.88987527412	NA	NA	NA	3915.92272028005	3720.63924952201
AARS	1	NA	NA	NA	2667.05011574351	NA	NA
AARS2	NA	0	NA	NA	NA	NA	NA
AASDH	1	1	1	802.709080022191	493.898274451066	NA	NA
AASDHPPT	NA	NA	NA	1861.7817850952	2094.46348999038	18186.4245284627	5766.44193904875
AASS	246.500845411641	163.052547247633	NA	169.863062745352	82.6002976756612	NA	NA
AATF	4688.99379720271	NA	NA	NA	NA	NA	NA
AATK	NA	NA	NA	882.152560466914	351.919237478836	NA	NA
AB488780	NA	456.251326103414	1	1	421.253291233327	NA	1
ABAT	NA	NA	NA	1082.13023311864	228.531639954546	NA	1307.26930097383
ABCA1	NA	3040.07595417953	1	3547.52412288535	1426.22026762596	1	NA
ABCA11P	826.905903011602	NA	NA	NA	169.826153695345	NA	NA
ABCA12	NA	1449.63470649142	0	NA	1198.52380523677	0	NA
ABCA13	0	103.352965999672	309.057666977014	0	28.8960867531666	NA	154.037581768282
ABCA17P	NA	86.013495581183	NA	NA	NA	334.409244847695	NA
ABCA2	0	307.691841943783	NA	725.66526156501	365.853739297864	4518.15553736059	NA
ABCA3	NA	NA	545.917760612674	188.812623986475	NA	NA	NA
ABCA4	0	NA	NA	NA	232.353139349312	NA	NA
ABCA5	0	1946.73177361708	NA	NA	758.780298541403	NA	3291.87130824901
ABCA6	370.03824592131	NA	NA	408.446942516381	159.893059623796	NA	NA
ABCA7	NA	NA	NA	NA	371.162642432514	NA	2477.47242565088
ABCA8	NA	NA	10089.6100722941	NA	NA	NA	NA
ABCA9	0	324.637544251668	1015.0286525839	232.247151597305	181.344827629468	NA	597.645531521946
ABCB1	NA	NA	NA	NA	98.2515286481187	0	0
ABCB10	NA	NA	NA	2528.76704476934	791.622039661627	NA	NA
ABCB11	37.706773846583	0	0	0	9.18775906492444	678.103967194456	0
ABCB4	NA	NA	NA	NA	182.3400563508	NA	NA
ABCB5	0	NA	939.971162853479	307.990002704002	NA	NA	NA
ABCB6	1462.78325688842	NA	NA	NA	465.687452305204	4123.68254186064	1811.92611466069
ABCB7	1	NA	1	NA	512.625924817264	1	NA
ABCB8	0	NA	0	NA	195.462383058703	0	NA
ABCB9	NA	0	NA	NA	136.991283998463	NA	534.433081346034
ABCC1	NA	1842.25038057233	NA	NA	1908.01858785686	NA	NA
ABCC10	NA	1043.85270980131	NA	1687.6963948331	647.278766550101	NA	NA
ABCC11	291.900662715411	NA	0	0	NA	1207.58256523452	0
ABCC12	NA	0	NA	97.0901561969849	NA	NA	NA
ABCC13	NA	NA	NA	NA	0	NA	0
ABCC2	0	0	NA	0	29.242840264956	NA	151.867003507394
ABCC3	NA	NA	NA	NA	694.568124224234	NA	NA
ABCC4	2372.46616259299	NA	0	NA	340.697054583303	0	NA
ABCC5	NA	2765.16697530247	0	NA	915.441933555657	0	NA
ABCC6P1	0	24.9669343175813	133.260407522468	0	5.55458999908468	0	0
ABCC8	65.044798304004	18.063284241385	0	NA	NA	0	NA
ABCC9	NA	126.434147718154	0	211.470730681191	NA	NA	0
ABCD1	0	NA	NA	NA	NA	NA	NA
ABCD2	0	18.7435005837947	NA	NA	NA	0	NA
ABCD3	1	2078.52283717616	NA	1597.61327053229	2253.99006195774	NA	NA
ABCD4	1464.47750867616	1435.6221075172	5048.86946157917	NA	358.202288552295	NA	NA
ABCE1	NA	NA	6951.66424640478	4042.41771190925	794.781958957802	NA	NA
ABCF1	1	NA	NA	NA	2112.37520368241	NA	1
ABCF2	NA	NA	NA	NA	1783.26712331154	NA	NA
ABCF3	NA	NA	NA	0	522.666779046001	NA	0
ABCG1	NA	NA	0	1894.3985044009	715.939075568281	0	NA
ABCG2	0	110.896940506853	NA	190.635317318807	154.386057921054	0	NA
ABCG4	NA	NA	3117.3575548101	NA	317.192473837761	NA	1378.65704379879
ABCG5	NA	NA	NA	NA	NA	NA	0
ABCG8	NA	NA	NA	NA	NA	NA	NA
ABHD1	268.182578190431	64.9243161658396	NA	NA	52.1675442801226	NA	359.357422710389
ABHD10	NA	851.873652288043	NA	779.498612835093	799.716676872947	1	1
ABHD11	NA	0	NA	NA	NA	NA	NA
ABHD12	NA	3106.71059100289	NA	NA	NA	NA	NA
ABHD13	0	448.830057372085	NA	NA	153.705219677244	0	782.92704705391
ABHD14B	NA	NA	NA	NA	1141.01724607766	9549.98606634727	NA
ABHD15	1	442.996465665783	NA	1	247.251442568589	1	NA
ABHD16A	NA	2498.00927719075	NA	NA	523.989161568929	NA	NA
ABHD16B	4.32743973953354	7.9725984765676	36.8093622760578	13.8706980958778	NA	78.7332691286633	0
ABHD17A	NA	NA	NA	1	4543.90052354234	NA	NA
ABHD17B	NA	2192.1802275935	NA	NA	1165.33104473859	NA	NA
ABHD17C	NA	1	NA	NA	1322.08378772659	NA	NA
ABHD2	NA	NA	NA	NA	952.095723313709	NA	NA
ABHD3	0	NA	NA	4654.91414534684	NA	NA	NA
ABHD4	NA	NA	0	NA	1205.98485592905	NA	NA
ABHD5	0	NA	NA	NA	1195.43969271898	NA	NA
ABHD6	1	602.047829974203	1	1	467.591513583571	NA	1
ABHD8	NA	NA	0	573.424179930026	NA	NA	NA
ABI1	NA	NA	NA	NA	2542.20484059623	NA	12916.9467835109
ABI2	NA	NA	5699.28741313235	2055.08192286859	914.630575955109	4012.09063129717	4374.35806934722
ABI3	NA	NA	NA	NA	412.284478361838	NA	NA
ABI3BP	NA	3404.72985489811	NA	NA	1598.3938826971	48846.8953550393	NA
ABL1	NA	NA	16038.0269696551	4045.15075093916	1372.44996409756	12579.3054931267	NA
ABL2	NA	NA	NA	NA	1013.44475388795	NA	NA
ABLIM1	NA	NA	28046.2106471841	NA	6248.64644763176	NA	21664.3521116078
ABLIM2	516.947355872074	NA	NA	NA	130.485272858784	NA	NA
ABLIM3	470.477556760103	NA	602.51034375089	407.577987998561	201.943077218593	4000.75817616447	658.947625444803
ABO	NA	NA	NA	269.951737635237	87.4811514451895	NA	0
ABR	NA	NA	NA	4192.34568096543	2601.64680933711	NA	NA
ABRA	0	NA	NA	0	17.4778749286893	513.640727302638	170.246412806454
ABRACL	0	NA	0	6581.92642787256	2038.80860461547	NA	NA
ABT1	NA	1	NA	NA	774.908597852735	1	NA
ABTB1	1025.81760813738	1016.37312862747	NA	947.674229454949	421.582087160272	NA	2364.77056423049
