GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	1	0.785259404603996	1	1	1	1	1
A1BG.AS1	1	1	1	0.612023752839347	0.333135683354444	1	1
A1CF	1	1	1	1	1.15230749009257e-05	1	1
A2M	1	0.00353023659602394	1	0.00947813038948694	8.95713960291392e-20	1	1
A2M.AS1	1	0.855329540917996	1	1	0.0160919813456023	1	1
A2ML1	1	1	1	1	0.00828682153845213	1	1
A2MP1	1	1	1	1	0.681579284313904	1	1
A4GALT	1	0.248354520751471	1	0.453113683746005	0.000449150366126132	1	1
A4GNT	1	1	1	1	0.0337727024630984	1	1
AA06	1	1	1	1	0.00333226204643254	1	1
AAAS	1	1	1	1	3.77765295495556e-05	1	1
AACS	1	1	1	1	2.56185897885146e-06	1	1
AACSP1	1	1	1	0.427161187335539	3.96501491349106e-08	1	1
AADAC	1	1	1	1	0.345072411356393	1	1
AADACL2	1	0.787851892659424	1	1	0.0045598255810372	1	1
AADACP1	1	1	1	1	0.553600966814091	1	1
AADAT	1	1	1	1	0.49306213542458	1	1
AAED1	0.649176883506429	1	1	1	3.03668660652523e-08	1	1
AAGAB	1	0.288518818048253	1	0.412887080423811	7.12042050677066e-10	1	1
AAK1	1	1	1	0.902998424009333	0.0627954454204004	1	1
AAMDC	1	1	1	1	0.00117290169680673	1	1
AAMP	1	1	1	1	0.0663196076626034	1	1
AANAT	1	1	1	1	0.713662277681757	1	1
AAR2	1	1	1	1	2.59921955161431e-07	1	1
AARS	1	1	1	1	4.98832730735316e-06	1	1
AARS2	1	1	1	1	0.0286514003441526	1	1
AASDH	1	1	1	0.140984365385759	1.69624452654519e-10	1	1
AASDHPPT	1	1	1	1	1.23028059340962e-06	1	1
AASS	1	0.710018916236602	1	1	0.00114779167458888	1	1
AATF	1	1	1	1	0.0696764595450082	1	1
AATK	1	1	1	1	0.0182952880709182	1	1
AB488780	1	0.00121022338093575	1	0.777250024387526	3.44320700823638e-16	1	1
ABAT	1	0.973579162862743	1	0.780604716082712	0.000325372331673873	1	1
ABCA1	1	0.491806610756406	1	0.412887080423811	8.75542396888801e-13	1	1
ABCA11P	1	1	1	1	0.0204706574680347	1	1
ABCA12	1	1	1	1	0.00183051964533277	1	1
ABCA13	1	1	1	1	0.336476106808838	1	1
ABCA17P	1	1	1	1	0.184996889541909	1	1
ABCA2	1	1	1	0.838235577711688	0.000191851169031533	1	1
ABCA3	1	1	1	1	0.0102933131512681	1	1
ABCA4	1	1	1	1	0.0856294516787923	1	1
ABCA5	1	0.925521132300527	1	1	0.00381006065341878	1	1
ABCA6	1	0.781233108977434	1	1	0.00863273970603729	1	1
ABCA7	1	0.998872463425253	1	1	0.292434328272654	1	1
ABCA8	1	1	1	1	0.419101829150977	1	1
ABCA9	1	1	1	1	2.05576392683825e-05	1	1
ABCB1	1	1	1	1	0.507183610449621	1	1
ABCB10	1	1	1	1	0.0284370050051303	1	1
ABCB11	1	1	1	1	0.0814289038794282	1	1
ABCB4	1	1	1	1	0.0518056717642813	1	1
ABCB5	1	1	1	1	0.0413917691418165	1	1
ABCB6	1	1	1	1	0.00031817045156036	1	1
ABCB7	1	0.99154400306154	1	0.653968064891259	1.16546794673954e-07	1	1
ABCB8	1	1	1	1	0.00165141741381162	1	1
ABCB9	1	1	1	1	0.0268521301897119	1	1
ABCC1	1	1	1	0.698952902016163	2.0825691536019e-06	1	1
ABCC10	1	0.409308912466795	1	1	0.000161337807284725	1	1
ABCC11	1	1	1	1	1	1	1
ABCC12	1	1	1	1	1	1	1
ABCC13	1	1	1	1	0.650353975059374	1	1
ABCC2	1	1	1	1	0.0878840955762984	1	1
ABCC3	1	0.989270699451885	1	0.733247745573159	0.00386306186321117	1	1
ABCC4	1	1	1	0.789250197934624	0.0950978761185697	1	1
ABCC5	1	1	1	1	0.0153588577320068	1	1
ABCC6P1	1	1	1	1	0.124248528638646	1	1
ABCC8	1	1	1	1	0.180544606228694	1	1
ABCC9	1	1	1	1	0.0999584661795237	1	1
ABCD1	1	1	1	1	0.267927913700992	1	1
ABCD2	1	1	1	1	0.43286117414531	1	1
ABCD3	1	0.0061628507383436	1	0.913547084397717	1.6993076919301e-20	1	1
ABCD4	1	1	1	1	0.00660023151774266	1	1
ABCE1	1	1	1	1	0.0089955749276459	1	1
ABCF1	1	1	1	1	2.33157158042974e-07	1	1
ABCF2	1	1	1	1	0.00080870740343003	1	1
ABCF3	1	1	1	1	0.514547121687691	1	1
ABCG1	1	0.814143991409382	1	0.942075081061155	0.0213122506400102	1	1
ABCG2	1	1	1	0.356573472406377	0.0121294473656005	1	1
ABCG4	1	1	1	1	0.00182994709946059	1	1
ABCG5	1	1	1	1	0.309394727435224	1	1
ABCG8	1	1	1	1	0.54039251662546	1	1
