GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	NA	NA	0	NA	155.783242856375	NA	NA
A1BG.AS1	NA	131.645332544618	NA	NA	NA	506.783254839562	NA
A1CF	NA	NA	NA	NA	141.88711005294	0	424.856760367355
A2M	1	10346.5531988925	NA	9918.94473647346	7660.05601897739	1	1
A2M.AS1	580.576421943988	NA	NA	NA	130.632424160104	NA	NA
A2ML1	NA	NA	0	4496.94299610069	1165.17739882073	0	NA
A2MP1	NA	NA	NA	NA	NA	NA	NA
A4GALT	NA	136.148330194458	NA	307.12020210154	104.117715357295	NA	NA
A4GNT	0	210.289693202812	0	146.381362550471	46.2592658744683	NA	0
AA06	NA	NA	0	NA	NA	0	0
AAAS	NA	NA	NA	551.647886817659	473.271089547697	NA	NA
AACS	0	NA	NA	2992.92351048893	1752.17387184685	NA	5407.15602015844
AACSP1	1	1	NA	1	27.6550887427066	NA	NA
AADAC	NA	NA	NA	NA	NA	NA	NA
AADACL2	NA	4317.16276809148	NA	NA	778.062348398398	NA	NA
AADACP1	NA	0	0	0	NA	NA	NA
AADAT	478.70650362966	NA	NA	NA	NA	0	0
AAED1	NA	1	NA	NA	1129.0236958264	NA	1
AAGAB	1	1248.67646304015	NA	1	819.204229626225	NA	1
AAK1	NA	NA	16467.8472825241	3013.64974067049	1614.13765288891	NA	NA
AAMDC	NA	NA	NA	2291.98138450756	NA	NA	NA
AAMP	NA	NA	NA	NA	1674.39567717983	NA	NA
AANAT	NA	NA	NA	NA	NA	512.571958055589	NA
AAR2	NA	NA	NA	NA	1284.53046822721	NA	1
AARS	NA	NA	NA	NA	2005.24318933482	NA	5176.26955295319
AARS2	NA	NA	NA	NA	NA	0	0
AASDH	1	1	1	1	509.815699077951	NA	NA
AASDHPPT	NA	NA	NA	4942.23640167018	1590.84194982832	11278.8631521729	5127.54564331546
AASS	NA	NA	621.368777906961	188.877012343771	90.6044674675746	753.689648506866	309.686136871562
AATF	NA	NA	NA	NA	1262.52899732382	NA	NA
AATK	1240.56209493262	NA	NA	NA	516.3014969576	NA	NA
AB488780	NA	389.774387645681	1	1	387.233818068714	NA	1
ABAT	NA	265.928461594231	1730.44374904596	1032.38429845664	217.793570000094	0	488.308487087137
ABCA1	1	3239.16966322409	1	1	1727.90671567817	NA	NA
ABCA11P	666.512190368167	195.257138755122	1030.13767556709	NA	140.491017899118	NA	NA
ABCA12	NA	1488.36401474753	NA	NA	970.128085485764	NA	NA
ABCA13	NA	NA	509.688221547766	NA	NA	NA	NA
ABCA17P	NA	NA	0	NA	35.3278027419092	NA	NA
ABCA2	NA	559.463129954059	NA	NA	354.768448121806	2003.0713455788	NA
ABCA3	0	0	NA	NA	NA	NA	NA
ABCA4	NA	NA	NA	NA	NA	NA	1953.64865575149
ABCA5	NA	1661.8479922816	NA	NA	871.236409819507	NA	3455.16045619928
ABCA6	NA	471.838448594697	1311.66703389126	NA	206.787649488682	NA	NA
ABCA7	1305.16819859783	NA	0	NA	260.946165367828	NA	NA
ABCA8	NA	NA	NA	2177.3343047689	NA	NA	NA
ABCA9	0	264.82985395174	NA	NA	247.511140641048	1238.44656541246	1246.55688550448
ABCB1	0	NA	0	0	118.772114282798	NA	562.652116356532
ABCB10	NA	NA	NA	NA	766.733854108326	NA	0
ABCB11	0	0	0	NA	NA	NA	NA
ABCB4	NA	224.363200229716	0	NA	108.322831539393	1437.10776870387	593.931451365423
ABCB5	NA	NA	NA	NA	NA	NA	NA
ABCB6	0	NA	0	1412.00178386741	417.429534804249	NA	2160.03977576218
ABCB7	1	NA	NA	1	442.501601543227	NA	1
ABCB8	NA	NA	0	NA	NA	0	NA
ABCB9	NA	NA	NA	NA	115.408738715088	596.020477817973	0
ABCC1	NA	2438.32867603106	NA	4119.41994373237	1982.95911304227	NA	NA
ABCC10	NA	1470.20895440922	0	NA	699.062571650431	2796.25089350059	NA
ABCC11	NA	0	NA	NA	NA	NA	0
ABCC12	NA	NA	0	53.0578377135372	NA	207.309437553865	0
ABCC13	NA	NA	NA	NA	NA	0	0
ABCC2	0	0	NA	0	37.2829361784514	NA	640.297897579381
ABCC3	NA	1048.39816900938	NA	NA	468.895419171122	NA	NA
ABCC4	NA	831.469234773547	NA	1742.64135743053	NA	NA	NA
ABCC5	NA	2699.7525724813	0	NA	936.890247458265	NA	3894.57520716578
ABCC6P1	0	NA	26.537847862826	NA	7.96706470017212	46.5292989535337	43.2230454406478
ABCC8	0	NA	NA	NA	NA	264.559306235711	NA
ABCC9	829.68306904704	NA	0	NA	NA	601.447652583735	NA
ABCD1	NA	NA	0	NA	NA	NA	0
ABCD2	0	NA	NA	0	NA	0	34.7211946398382
ABCD3	1	2570.04758751576	NA	NA	2431.81738740612	NA	NA
ABCD4	NA	NA	5889.02115856357	1451.63966817981	667.171350970078	0	NA
ABCE1	NA	1049.90774792333	NA	2885.27702387096	1065.23061097565	NA	NA
ABCF1	NA	NA	NA	1	2111.66728087095	NA	NA
ABCF2	NA	NA	0	NA	NA	NA	NA
ABCF3	NA	NA	NA	NA	NA	0	NA
ABCG1	NA	NA	NA	NA	810.453979989535	NA	NA
ABCG2	0	130.835840996009	NA	198.284997271162	132.837367307532	NA	NA
ABCG4	875.215048350402	NA	NA	574.787866966808	190.222500281099	NA	NA
ABCG5	0	NA	0	0	NA	NA	0
ABCG8	0	0	NA	NA	NA	0	434.339720963385
ABHD1	NA	NA	126.984539312723	149.241036521221	62.1980918408099	0	194.824731247936
ABHD10	1	815.609687104183	1	609.573063088484	781.682882188311	NA	1
ABHD11	NA	NA	NA	NA	NA	NA	2243.99690289124
ABHD12	NA	NA	NA	NA	1192.28178316554	NA	NA
ABHD13	0	454.381609487584	NA	0	199.275213223436	NA	1437.19499071913
ABHD14B	NA	NA	NA	2776.73418620764	NA	NA	NA
ABHD15	NA	391.347353612788	NA	NA	314.820405255287	NA	NA
ABHD16A	NA	NA	NA	NA	1052.43363927613	NA	NA
ABHD16B	0	4.57224169270243	15.0871678589948	7.59919978899311	5.51489418690973	0	0
ABHD17A	0	NA	NA	7380.23138453401	4928.77185496247	NA	NA
ABHD17B	NA	2627.89342545487	NA	NA	1297.62355302037	NA	NA
ABHD17C	3088.2895533035	0	NA	NA	1083.65307814128	21048.2814394442	4019.75031093289
ABHD2	NA	NA	0	NA	1228.96423604693	NA	NA
ABHD3	NA	0	NA	NA	NA	40679.9426594712	0
ABHD4	NA	NA	NA	NA	962.61927346394	NA	NA
ABHD5	NA	NA	0	NA	1315.62279762521	26761.116165067	7725.40956223127
ABHD6	1	NA	1	1	568.126761485112	1	1
ABHD8	0	NA	0	NA	NA	0	NA
ABI1	NA	NA	19051.7237450194	NA	2884.82960837435	NA	12112.3255530766
ABI2	2570.49018238909	NA	NA	844.176919378135	893.703535239268	0	1651.66665929476
ABI3	NA	NA	NA	NA	421.650057768316	0	0
ABI3BP	12853.7383753173	3396.12003093189	NA	NA	1502.13670737762	21913.4362925397	NA
ABL1	NA	NA	NA	4232.26111994357	1486.96899891638	NA	NA
ABL2	3515.15403723188	1943.86741523288	0	NA	643.270278905601	NA	NA
ABLIM1	15847.9329704201	NA	NA	NA	6279.75097145237	NA	NA
ABLIM2	NA	NA	NA	366.840274066284	159.710930970865	NA	NA
ABLIM3	0	486.444244030112	NA	386.072468074491	193.014199832947	2298.89331800488	NA
ABO	NA	183.181138388621	0	126.124132834201	78.2860824679974	NA	NA
ABR	NA	NA	8672.61538878158	NA	2807.01578308817	7287.9115938211	NA
ABRA	0	NA	0	78.6339181024481	NA	NA	NA
ABRACL	5338.9511612982	NA	NA	4328.61608770137	2090.2912175038	0	NA
ABT1	1	NA	NA	NA	715.072514681848	NA	NA
ABTB1	NA	1371.33987505709	3051.98138665661	1086.80487985635	422.652932704255	NA	NA
ABTB2	0	NA	NA	354.044429305615	306.43757246688	1895.87959769336	1257.43422840712
AC000111.3	NA	NA	NA	NA	NA	NA	0
AC002059.10	NA	0	NA	NA	157.540919920635	NA	NA
AC002064.5	NA	NA	325.634461807129	NA	NA	NA	0
AC003973.4	NA	0	88.5525292546978	47.3931313651802	NA	0	0
AC003989.4	NA	0	498.526269341584	NA	NA	NA	213.088753470523
AC004692.5	NA	NA	NA	1	770.903300873801	NA	NA
AC004941.5	NA	NA	NA	526.478771785399	296.917520202542	NA	NA
AC005162.4	NA	NA	NA	43.1088938097857	17.9410175133187	242.985947289412	NA
AC005224.2	NA	NA	NA	1	113.959081412405	NA	NA
AC005256.1	0	0	NA	NA	31.0138449413287	0	0
AC005306.3	NA	NA	NA	NA	151.370103537294	NA	836.026496939854
AC005498.3	0	NA	1054.67802897407	NA	NA	NA	NA
AC005523.2	NA	NA	NA	NA	239.215627057684	1880.60824973707	0
AC005523.3	0	NA	NA	NA	NA	277.290493380917	150.718895371422
AC005537.2	0	NA	NA	NA	NA	NA	0
AC005592.3	NA	NA	NA	NA	NA	NA	NA
AC005606.14	44.3364591623275	NA	NA	NA	6.78942858076317	NA	NA
AC005785.2	0	NA	0	NA	127.664021460232	0	NA
AC005838.2	0	0	0	NA	11.9560316002728	0	0
AC006026.13	0	NA	1101.13213470177	381.074841595665	100.863625583458	NA	207.582746521135
AC006129.2	13.7589743543906	5.47858724567176	0	2.4235557961935	4.53945534823809	0	0
AC006538.1	NA	184.801625835734	1358.04247930765	NA	NA	2709.8748063131	NA
AC007292.3	NA	NA	NA	NA	NA	3040.64236323964	NA
AC007349.5	NA	0	718.715425009404	NA	61.1439180498676	NA	NA
AC007362.3	NA	NA	NA	NA	NA	0	0
AC007365.3	NA	NA	NA	NA	NA	NA	NA
AC007389.3	115.623406189153	NA	0	NA	56.3594152731978	NA	0
AC007401.2	52.0864874954696	0	NA	98.5367312783265	38.5479816365397	NA	0
AC007680.2	0	NA	0	0	10.6139466064679	66.6401299024237	111.123138499251
AC007787.2	NA	NA	NA	15.9585252862438	NA	80.7141747248328	NA
AC008088.4	0	NA	NA	NA	NA	NA	NA
AC008746.12	183.708202753245	115.589615072728	NA	NA	NA	NA	NA
AC008753.4	0	NA	0	169.001231964626	NA	NA	365.437775835111
AC009120.6	NA	959.020575046687	NA	NA	NA	NA	NA
AC009133.15	201.148523829815	85.0916951672714	NA	NA	79.0986954901419	NA	0
AC009502.4	0	445.159443457745	NA	NA	NA	NA	0
AC010145.4	0	NA	NA	NA	NA	NA	NA
