GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	4948.84208812054	43.5870997817759	137.803086840355	110.390483423067	15.0952617728488	121.898518913796	2675.91207902333
A1BG.AS1	4293.71807029582	14.9225987248412	54.4429208972935	13.9712052670624	4.96311116272941	104.30311505241	290.051446323146
A1CF	0	73.9133025715327	0	226.188979107518	24.407295878378	0	10270.6455431965
A2M	534104.307178716	2782.60967623386	0	6483.91267781377	1057.13987057798	0	54968.3210485036
A2M.AS1	3117.15122615054	133.540146685566	20.870792445068	319.809444488006	43.5212762152884	1516.79994304178	6256.9813765831
A2ML1	268276.634148002	811.300235242586	1098.22761336988	2554.19523657424	381.113468076216	5238.0460163395	54559.3070669222
A2MP1	1935.35012330256	18.8814399138138	20.0972019830572	90.8794984405803	6.64224743987414	0	1548.43975325213
A4GALT	13006.942286857	51.5660748051657	186.816455560331	420.144698127868	19.4830510883847	305.418696169957	0
A4GNT	847.70203216119	27.75250820478	94.6728834797321	38.0869579211942	6.64672566591418	80.1853752631683	0
AA06	3000.82882836924	45.2332571863663	79.2423309062939	52.1025690285056	18.1709538127275	219.35217032112	3450.77116693437
AAAS	103832.561967459	184.980129918972	382.0751982967	364.732453878016	65.4235028137332	581.217241635409	15428.9870491114
AACS	230106.695366623	1995.37764741169	6791.85561026482	7443.36978662572	952.268647609614	14007.465567423	127840.328264324
AACSP1	6631.11881142591	24.6818382280857	72.3127824996512	107.878125679704	8.25755882078294	49.7265288729388	1653.59423499091
AADAC	144335.690394355	726.684565618305	2649.94810951397	700.765247040289	256.431079264149	4463.2251189589	29199.3098590418
AADACL2	39184.0903526382	1087.85754869145	2581.38739774046	2726.88008560612	394.612277937033	4404.71986669498	18188.9193264934
AADACP1	14490.9982625386	21.4405987463548	58.307325442216	52.562975622766	6.66029373816894	42.2390100983213	1250.55212830981
AADAT	1061.89489427329	0	101.873821616932	0	5.43904089579736	0	1211.76379744164
AAED1	41160.0001781916	321.56678001135	813.722520718195	351.524501386949	126.998623073169	2156.62558225954	0
AAGAB	62093.5808776524	359.514357094828	615.987288877739	1076.69113102616	116.507373836274	2900.98918227125	18087.5021865284
AAK1	9630.53661877899	823.896692230819	1937.52709223072	1563.67251274783	274.466948961353	4790.62555724251	50857.424127703
AAMDC	27443.0701352395	399.277914564394	4.96417710147319	1292.4509527081	162.409952223444	1584.48677739164	32611.3083894182
AAMP	0	413.825512721043	0	925.204048299992	157.007132412551	2686.56951490761	27099.4353512146
AANAT	3327.34581545759	10.0140727595356	47.140969439205	15.5443892698749	4.28428954855099	4.68563778224931	1045.81922427824
AAR2	33268.7249374731	437.694630892187	838.210261227308	1256.58315735483	153.386425023216	2731.7238346367	0
AARS	296368.06519442	551.523956049042	1999.21041096063	0	182.743968702916	2556.69230725685	0
AARS2	912.118273834695	94.9540803347882	232.420313348446	251.250365484457	37.4275549744813	405.045707252972	3494.80722687819
AASDH	6385.17651083825	58.0956216645286	191.989563705642	155.223628928094	21.5029459332349	633.774724044639	188.189353387445
AASDHPPT	38916.9140235656	1071.58295634961	1986.71838102298	1400.34652262377	397.680365759343	5070.8328633969	60502.6614636775
AASS	23947.9258114498	189.458825589174	616.623107075158	455.947232965603	69.7342584040408	176.140123132636	8099.33669243073
AATF	110726.127254172	588.647812960866	1292.46971121242	125.538008318231	214.023324875988	3187.3964264991	29907.4230539049
AATK	49019.5300576869	186.253507472402	480.917937290792	280.552618165225	67.2172044626972	236.791753477981	12486.3284420947
