GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
A1BG	0	280.806587575808	293.841774315832	216.672572637865	48.1150977865128	11.0747508913377	0	0
A1BG.AS1	4077.32180957282	22.3086874096529	96.1086020220283	0	20.5017159256085	604.541820772939	4.95210968926804	861.176219518812
A1CF	0	95.6380431085255	364.021894384042	502.831505696253	115.671718138376	1372.55696830104	0	1638.47025941987
A2M	2360124.52264453	4593.11030732011	12938.3814147278	0	4101.77383936368	33028.5128231033	0	140811.40342941
A2M.AS1	0	0	0	572.373656305973	263.963206753753	0	26185.7275678661	340.901042241787
A2ML1	161.903173903975	1695.978308181	3943.33942397531	5029.46457204057	1192.61141813756	0	32701.6756821294	0
A2MP1	0	50.3412324747294	0	238.907038664729	84.1410473357644	0	586.297056289494	826.432123579334
A4GALT	0	589.329149598833	0	1142.99824781909	42.0558838237597	0	0	0
A4GNT	1	1	285.391451497576	1	71.4976630488082	1	1	1
AA06	0	152.026204591549	73.015991833696	0	89.8379285485219	169.805745475955	5301.71387364201	0
AAAS	237485.85227081	621.588165886423	0	0	184.407648034387	657.925624486368	21240.6816804448	4540.37681478258
AACS	1609781.20306435	4836.68763239448	0	0	3265.11762973161	0	0	3368.65700179092
AACSP1	0	61.2132155797803	139.555827447195	68.1623481928704	41.2591868532307	0	1954.82041908612	0
AADAC	0	427.008612496183	8219.84900876429	0	1019.35158628248	0	94565.7530937701	0
AADACL2	1	5629.36345179694	1	1	4201.32963695347	1	1	1
AADACP1	127602.044608082	0	126.482268646391	34.5178916442681	24.5459025563582	525.895041181546	0	0
AADAT	0	0	0	0	71.8225285815812	0	25.7055396804246	0
AAED1	0	815.926152894826	0	0	288.449211015597	148.075428437769	0	0
AAGAB	933950.491458566	346.284853997411	382.336079386876	1039.52142786233	879.762062963586	10387.8768182675	16700.7397177658	0
AAK1	1595869.52526716	3857.64196151851	0	0	999.011471853468	0	0	0
AAMDC	382098.319749344	1356.21743460722	730.450907018451	0	1117.9377393607	0	16917.8103588801	0
AAMP	0	1583.31584127179	0	0	941.335768448244	0	4528.04671712285	0
AANAT	7843.73983607113	0	55.2240596295059	0	17.6650320517237	0.980452506674893	0	0
AAR2	85752.9568308249	287.545643534221	3587.42685087124	131.74579136802	1204.06714559964	0	0	15751.6252355164
AARS	21333.2326620217	761.221793042092	3376.45939353966	0	2243.52795655975	15335.1948789684	0	34057.0541459721
AARS2	1	659.630531380685	1	1	503.226000014198	1	1	1
AASDH	1	660.032323114311	1	742.336142403805	624.997535793015	1	1	1
AASDHPPT	0	2901.40313736998	4734.94584452539	3310.5265598128	1522.97526498956	0	40023.0727794108	0
AASS	0	261.817510476018	944.783124930073	1146.15011229745	214.804161149433	525.489471607497	0	0
AATF	0	2152.00325515627	1454.47724824079	0	981.384213270225	0	18512.8509742475	15643.1701875096
AATK	0	1365.78677821573	286.469980608956	0	0	0	0	0
AB488780	0	1042.23745334291	0	412.420312043465	285.086635096141	3496.48219952879	0	0
ABAT	0	0	0	0	462.208362611253	358.26536047989	3841.48210075055	0
