GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
A1BG	NA	280.806587575808	293.841774315832	216.672572637865	NA	NA	NA	0
A1BG.AS1	NA	NA	NA	0	NA	604.541820772939	NA	NA
A1CF	0	NA	NA	NA	115.671718138376	NA	0	NA
A2M	NA	4593.11030732011	12938.3814147278	NA	4101.77383936368	NA	0	NA
A2M.AS1	0	0	0	572.373656305973	263.963206753753	NA	26185.7275678661	NA
A2ML1	NA	NA	3943.33942397531	5029.46457204057	1192.61141813756	NA	NA	0
A2MP1	NA	NA	0	238.907038664729	84.1410473357644	NA	NA	NA
A4GALT	NA	589.329149598833	0	1142.99824781909	NA	NA	0	0
A4GNT	1	1	285.391451497576	NA	71.4976630488082	1	NA	NA
AA06	NA	152.026204591549	NA	NA	89.8379285485219	NA	5301.71387364201	NA
AAAS	NA	621.588165886423	NA	NA	NA	NA	21240.6816804448	NA
AACS	NA	NA	NA	0	3265.11762973161	NA	NA	NA
AACSP1	0	NA	139.555827447195	NA	41.2591868532307	0	NA	0
AADAC	0	NA	NA	NA	NA	NA	NA	NA
AADACL2	NA	5629.36345179694	NA	1	4201.32963695347	NA	1	NA
AADACP1	NA	NA	NA	NA	24.5459025563582	525.895041181546	0	0
AADAT	0	NA	NA	NA	71.8225285815812	0	NA	0
AAED1	0	815.926152894826	NA	NA	NA	NA	NA	0
AAGAB	NA	NA	NA	NA	879.762062963586	10387.8768182675	NA	0
AAK1	NA	3857.64196151851	NA	0	NA	NA	NA	0
AAMDC	NA	NA	NA	NA	1117.9377393607	0	NA	0
AAMP	NA	1583.31584127179	NA	NA	941.335768448244	NA	NA	0
AANAT	NA	0	55.2240596295059	0	17.6650320517237	NA	0	0
AAR2	NA	NA	3587.42685087124	NA	1204.06714559964	NA	NA	NA
AARS	NA	NA	NA	NA	2243.52795655975	NA	0	NA
AARS2	NA	659.630531380685	NA	1	503.226000014198	1	NA	NA
AASDH	NA	660.032323114311	1	742.336142403805	624.997535793015	1	1	NA
AASDHPPT	0	2901.40313736998	NA	NA	NA	0	NA	0
AASS	0	NA	NA	NA	NA	NA	0	NA
AATF	0	2152.00325515627	NA	NA	981.384213270225	NA	NA	NA
AATK	NA	1365.78677821573	NA	0	NA	0	0	0
AB488780	0	1042.23745334291	0	NA	NA	NA	0	0
ABAT	0	NA	NA	NA	462.208362611253	NA	NA	0
ABCA1	NA	NA	NA	NA	3029.0768440764	0	NA	0
ABCA11P	NA	1245.10498402819	NA	NA	NA	NA	0	0
ABCA12	NA	NA	NA	NA	2178.54143988722	NA	NA	0
ABCA13	0	NA	NA	NA	156.817320669722	2918.00981094109	NA	0
ABCA17P	NA	NA	0	NA	59.398256019693	0	2571.483192465	NA
ABCA2	NA	NA	0	NA	NA	NA	NA	NA
ABCA3	0	NA	NA	0	296.184078214221	0	NA	0
ABCA4	0	NA	NA	NA	NA	2044.4029610475	0	NA
ABCA5	NA	2477.98223423593	4602.15116880918	6876.65874295983	NA	NA	0	NA
ABCA6	NA	591.012502855799	NA	NA	520.689748651578	NA	NA	NA
ABCA7	NA	NA	0	620.43384537987	392.966951355927	0	0	NA
ABCA8	0	NA	NA	NA	5085.45795660892	NA	0	0
ABCA9	NA	449.562983728792	NA	0	325.093914581408	0	0	0
ABCB1	0	181.191899932802	348.898954984601	441.912259652592	NA	NA	NA	0
ABCB10	0	NA	NA	NA	965.784717151389	NA	0	NA
ABCB11	0	NA	NA	0	NA	NA	NA	NA
ABCB4	0	NA	NA	NA	172.477049376194	2093.5437368625	NA	NA
ABCB5	NA	NA	NA	0	NA	NA	NA	0
ABCB6	NA	432.234083795526	1	634.306979488022	454.057349495063	1	NA	NA
ABCB7	NA	701.29672004696	NA	1	555.228205429102	NA	1	NA
ABCB8	1	NA	NA	NA	235.481032492336	NA	NA	1
ABCB9	NA	NA	NA	NA	NA	NA	NA	0
ABCC1	NA	NA	NA	NA	1835.30117611172	NA	99083.6687626207	NA
ABCC10	0	NA	NA	NA	1006.21899702017	NA	0	NA
ABCC11	NA	NA	NA	NA	NA	NA	NA	NA
ABCC12	0	NA	0	NA	NA	0	NA	0
ABCC13	0	NA	0	NA	50.9265277585848	NA	0	0
ABCC2	0	0	NA	NA	58.0500287444471	468.361636643947	0	NA
ABCC3	1	940.579965715632	NA	1	617.019704921576	NA	NA	NA
ABCC4	NA	360.141993225461	NA	NA	566.867137070876	NA	0	NA
ABCC5	0	NA	NA	NA	1021.46820322866	NA	NA	0
