GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
A1BG	1	0.00829435470206012	0.243343623212286	0.449343930105348	0.190250189264208	0.988262096378156	1	1
A1BG.AS1	0.907469214067092	0.618660959915212	0.377364380806155	1	0.197629193121233	0.0675689034569867	0.998471796481608	0.470180788252581
A1CF	1	0.684763165528435	0.52420041967421	0.440999563147539	0.167272081726466	0.424764743753728	1	0.793467229388738
A2M	0.535497480788105	0.345793461123809	0.273832623359939	1	0.0192817589596925	0.352034104092789	1	0.277368909923466
A2M.AS1	1	1	1	0.455307010470686	0.00861598753389525	1	0.104880730863879	0.963011348578833
A2ML1	0.999877836373646	0.211861489712112	0.230827640816875	0.181033143373022	0.0146118928853263	1	0.675028422447602	1
A2MP1	1	0.394752622892422	1	0.146454833986701	0.00014290674817746	1	0.863335655128934	0.598420416124457
A4GALT	1	0.0669278116904351	1	0.195655482807954	0.707383700862643	1	1	1
A4GNT	1	0.215168482455455	0.000713999759003264	0.488336456266905	6.98069903453754e-08	0.242952725915824	0.862848969334604	1
AA06	1	0.0798869335534212	0.725369196917427	1	0.00411577741866609	0.785729427243934	0.286355007083959	1
AAAS	0.478449441114189	0.14875516815349	1	1	0.223749092139975	0.832446213429465	0.390214205886813	0.689122292946706
AACS	0.734809713624799	0.42623874644081	1	1	0.130722350804083	1	1	0.98332053747124
AACSP1	1	0.266906381777	0.296082970533185	0.653454716408019	0.0364039879265165	1	0.537809679765199	1
AADAC	1	0.78774117367029	0.0357148863275253	1	0.0723076211993701	1	0.303777952286697	1
AADACL2	0.388166790387038	2.62577121545727e-06	0.51775160633818	0.0913370719719043	4.84803705163322e-16	0.8054548142101	1	0.486700470760431
AADACP1	0.000375113547345683	1	0.232196203554071	0.773822507300285	0.112989065527171	0.100184030951942	1	1
AADAT	1	1	1	1	0.0557685603425281	1	0.996609963101798	1
AAED1	1	0.313938863301025	1	1	0.313211807019369	0.979903323585436	1	1
AAGAB	0.0186565769773129	0.485300396358218	0.75020245862222	0.448904277152173	4.22433761257347e-06	0.00531506662082931	0.559802349014108	1
AAK1	0.302994157752128	0.053702157490331	1	1	0.15405249304669	1	1	1
AAMDC	0.593271828302675	0.14057649837765	0.741199805742047	1	0.00091296265207544	1	0.748158525016863	1
AAMP	1	0.106343620691187	1	1	0.00760785282213043	1	0.93556956578887	1
AANAT	0.750742353964593	1	0.470513441090889	1	0.115878901563819	0.996591619450949	1	1
AAR2	0.889101103860392	0.714256874530081	0.0630465392038307	0.951599713736828	5.02103005191678e-05	1	1	0.451230776166517
AARS	0.983984077146761	0.575168619444101	0.306528344981159	1	1.50179823216724e-05	0.124365537479211	1	0.346558103310497
AARS2	0.419723048903305	3.87405625069335e-06	0.216630987799224	0.0799777913012313	4.56019988728518e-16	0.0864624713411737	0.548525863230066	0.276807188265825
AASDH	0.561723725161416	3.30566824223879e-11	0.0300710512735875	0.00170243799781619	2.49908454288581e-30	0.0141951561424675	0.430014535243799	0.813915724625821
AASDHPPT	1	0.0877565336151317	0.247231929866306	0.476742097820043	0.0122940102453381	1	0.679964602480359	1
AASS	1	0.452696920970992	0.26492138609067	0.236156536402615	0.0840052702620147	0.835756462918252	1	1
AATF	1	0.0434117907506488	0.567300299777095	1	0.00984430397961901	1	0.759682126252547	0.574701252927524
AATK	1	0.0310883626755431	0.849173185878725	1	1	1	1	1
AB488780	1	0.0570942458712285	1	0.782328687499452	0.138057114469639	0.375355116079107	1	1
ABAT	1	1	1	1	0.000196236042544768	0.882157263402526	0.841084163622149	1
ABCA1	0.447317302278449	1	0.873802537253735	1	0.0313634859509284	1	1	1
ABCA11P	0.800176977000527	0.0312657651885516	1	1	0.651801237072207	0.266699017550716	1	1
ABCA12	0.732790058419951	0.934883288662858	1	1	0.21048946126125	0.728046532868153	0.169742588985779	1
ABCA13	1	1	1	0.862055825080599	0.158416970262292	0.20282347579663	0.650071929087931	1
ABCA17P	0.924983753708405	1	1	1	0.00287327328711152	1	0.414250013022535	0.998536688805216
ABCA2	1	0.757337041003892	1	0.392024209791232	0.197045593813097	1	0.468984394850399	0.237098979568266
ABCA3	1	0.42712882652286	1	1	0.00190920551228298	1	1	1
ABCA4	1	0.552027463675115	0.726996603343913	0.864051689072225	0.210609630419872	0.186895994092508	1	0.855606861778738
ABCA5	0.778138690191291	0.081980837897077	0.180392261947502	0.0809290286218066	0.070025171968476	1	1	0.772739725138573
ABCA6	0.570604832578181	0.0171061168098899	0.467391554002733	0.680662177211711	7.3791982558466e-08	0.470293976321878	1	0.757287364693406
ABCA7	0.862032066267067	0.384189979303582	1	0.320078955350762	5.64944370946052e-06	1	1	0.348838004945038
ABCA8	1	1	1	1	0.000209071704435552	0.743855712611158	1	1
ABCA9	0.993086235248132	0.0763538909357845	0.436940939080487	1	0.000474950151636836	1	1	1
ABCB1	1	0.0441926840697861	0.107752268454673	0.0748717083474685	0.163808605888387	1	0.74972092671596	1
ABCB10	1	0.219792401817643	0.622210986690506	1	0.00482000621567576	0.372733696761884	1	1
ABCB11	1	0.542736610709576	1	1	0.469215349934849	1	1	0.946714356258449
ABCB4	1	0.41499271453014	0.993948422626753	0.840130453225245	0.00446280733916765	0.087477459713967	1	0.900554301097485
ABCB5	1	1	1	1	0.183708823042006	1	1	1
