GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
A1BG	1	0.0692389964219005	0.954468024362391	1	0.240930908142415	1	1	1
A1BG.AS1	1	0.89395430846785	1	1	0.248863837395161	1	1	1
A1CF	1	0.94751335694302	1	1	0.216256870424611	1	1	1
A2M	1	0.640805443489513	0.98649663276472	1	0.0344693476853943	1	1	1
A2M.AS1	1	1	1	1	0.0173796547795964	1	1	1
A2ML1	1	0.492342637714753	0.943558167068447	1	0.0272936567033163	1	1	1
A2MP1	1	0.687965657634809	1	1	0.000484576060919936	1	1	1
A4GALT	1	0.255885972780267	1	1	0.750021380721719	1	1	1
A4GNT	1	0.496193644205583	0.0608686907054462	1	4.77900907030907e-07	1	1	1
AA06	1	0.283793314279421	1	1	0.00927592050622351	1	1	1
AAAS	1	0.401438735193878	1	1	0.276639422245005	1	1	1
AACS	1	0.720384026188155	1	1	0.175741092960304	1	1	1
AACSP1	1	0.558091038142058	1	1	0.059462318364697	1	1	1
AADAC	1	1	0.522951628726369	1	0.106311055774794	1	1	1
AADACL2	1	0.000107280094150022	1	1	1.11206985504307e-14	1	1	1
AADACP1	0.427510987064391	1	0.944401031559588	1	0.155245279990777	1	1	1
AADAT	1	1	1	1	0.0851750885637681	1	1	1
AAED1	1	0.608387467119895	1	1	0.367205656155788	1	1	1
AAGAB	1	0.774178192333937	1	1	2.04960355506757e-05	1	1	1
AAK1	1	0.225314219483818	1	1	0.202001494757965	1	1	1
AAMDC	1	0.389164343629461	1	1	0.00249279036088102	1	1	1
AAMP	1	0.333766401305831	1	1	0.0156196496643986	1	1	1
AANAT	1	1	1	1	0.158702279075513	1	1	1
AAR2	1	0.97328792153259	0.622000409939254	1	0.000190823372477712	1	1	1
AARS	1	0.855788743168282	1	1	6.46776828149353e-05	1	1	1
AARS2	1	0.000150451696191358	0.918961539094144	1	1.04937904738867e-14	1	1	1
AASDH	1	3.84843764072251e-09	0.485215010639542	0.191008250801615	2.58924290390666e-28	1	1	1
AASDHPPT	1	0.299681434931724	0.960107641557564	1	0.0235963922932593	1	1	1
AASS	1	0.744243222147253	0.978201760461693	1	0.12090728629137	1	1	1
AATF	1	0.196660861279194	1	1	0.0194605165750702	1	1	1
AATK	1	0.161144873619975	1	1	1	1	1	1
AB488780	1	0.233835133531947	1	1	0.184013834588548	1	1	1
ABAT	1	1	1	1	0.000643637574259982	1	1	1
ABCA1	1	1	1	1	0.0523062942684383	1	1	1
ABCA11P	1	0.16177512052399	1	1	0.69692395751341	1	1	1
ABCA12	1	1	1	1	0.262794150403922	1	1	1
ABCA13	1	1	1	1	0.206660706913649	1	1	1
ABCA17P	1	1	1	1	0.00679976609389211	1	1	1
ABCA2	1	1	1	1	0.24822998943678	1	1	1
ABCA3	1	0.720948445671994	1	1	0.00476289587131055	1	1	1
ABCA4	1	0.834282712061764	1	1	0.262916000064102	1	1	1
ABCA5	1	0.287670242071513	0.871144968824981	1	0.103446928217041	1	1	1
ABCA6	1	0.110571896537718	1	1	5.02481632176422e-07	1	1	1
ABCA7	1	0.67691210836776	1	1	2.66695125538823e-05	1	1	1
ABCA8	1	1	1	1	0.000680276286678805	1	1	1
ABCA9	1	0.277258676544204	1	1	0.00140365368957882	1	1	1
ABCB1	1	0.199281212171418	0.743826471429447	1	0.212541886985866	1	1	1
ABCB10	1	0.501991843577601	1	1	0.0105832908734783	1	1	1
ABCB11	1	0.826064424566329	1	1	0.520618425265896	1	1	1
ABCB4	1	0.708842708494351	1	1	0.00993615464039278	1	1	1
ABCB5	1	1	1	1	0.234222259429557	1	1	1
ABCB6	1	6.03950259275822e-06	0.749032145481575	0.229349155262458	3.55058180647706e-24	1	1	1
ABCB7	1	0.000912640673615377	0.981071190383903	1	2.34803841847312e-13	1	1	1
ABCB8	1	0.245460747134027	1	1	1.36791221877389e-11	1	1	1
ABCB9	1	0.81140765992583	1	1	0.154720621294138	1	1	1
ABCC1	1	1	1	1	0.000118887617679574	1	1	1
ABCC10	1	0.528729435562097	1	1	0.0545974284881372	1	1	1
ABCC11	1	0.574033987242426	1	1	0.478145447922524	1	1	1
ABCC12	1	0.577665102717575	1	1	1	1	1	1
ABCC13	1	1	1	1	0.000401954877433694	1	1	1
ABCC2	1	1	1	1	0.177001754771979	1	1	1
ABCC3	1	0.0201898805370874	1	1	3.9480419200241e-07	1	1	1
ABCC4	1	0.602488485950165	0.988985431222203	1	9.57847105968599e-05	1	1	1
ABCC5	1	0.657323641600218	1	1	1.44520715706846e-05	1	1	1
ABCC6P1	1	0.131041558024288	1	1	0.00176085167273245	1	1	1
ABCC8	1	0.829873328769263	1	1	0.125297739077093	1	1	1
ABCC9	1	0.92546086738001	1	1	0.00115932414173706	1	1	1
ABCD1	1	4.62481812505794e-06	0.341874977020782	0.965506365662351	8.4378019292511e-20	1	1	1
ABCD2	1	1	1	1	0.110619179958069	1	1	1
ABCD3	1	0.906590618951387	1	1	2.1870772483405e-09	1	1	1
ABCD4	1	0.0159552435808526	1	1	2.04690475525285e-13	1	1	1
ABCE1	1	0.411001828804794	1	0.911683287396709	0.0171603391298005	1	1	1
ABCF1	1	0.101026510635758	1	1	0.000143732698292235	1	1	1
ABCF2	1	0.783363691096645	1	1	3.36991563225279e-06	1	1	1
ABCF3	1	0.0468942918439138	0.743826471429447	1	2.90724498586165e-06	1	1	1
ABCG1	1	0.786816646142934	1	1	0.431760404947331	1	1	1
ABCG2	1	1	1	0.481652650303378	1.00191715395163e-08	1	1	1
ABCG4	1	0.859086662951574	0.7358874226937	1	0.0340334060562991	1	1	1
ABCG5	1	0.723186434703174	1	1	0.860883869314398	1	1	1
ABCG8	1	1	1	1	0.000253808160090995	1	1	1
ABHD1	1	0.66695798532783	1	0.961384140043671	0.0245229043659188	1	1	1
ABHD10	1	0.353692802966257	1	1	0.000109504003796324	1	1	1
ABHD11	1	0.166833677616538	1	1	0.000185775729071568	1	1	1
ABHD12	1	0.348076624952969	1	1	1.70810184076375e-05	1	1	1
ABHD13	1	0.268676950809652	1	1	0.0301351624820417	1	1	1
ABHD14B	1	0.27715416291114	1	1	8.46252111525009e-05	1	1	1
ABHD15	1	0.870518435139725	1	1	0.0299998930472678	1	1	1
ABHD16A	1	0.749571333161443	1	1	0.0423621583704094	1	1	1
ABHD16B	1	0.640086756819166	0.755595652564127	1	4.3187180288997e-07	1	1	1
ABHD17A	1	0.641191702330528	0.90584552293276	1	0.281415434272196	1	1	1
ABHD17B	1	0.278811328279121	0.836675536964702	1	6.6869887636359e-05	1	1	1
ABHD17C	1	0.648309567499107	1	1	2.08164792290834e-06	1	1	1
ABHD2	1	0.658972581930616	0.964208749847081	1	3.59600021172316e-05	1	1	1
ABHD3	1	1	1	1	2.27723773602726e-09	1	1	1
ABHD4	1	0.242770702947676	1	1	0.0816219427624517	1	1	1
ABHD5	1	0.0642828318660682	1	1	0.0355062552257734	1	1	1
ABHD6	1	0.233577777105701	1	1	0.322644081967442	1	1	1
ABHD8	1	1	1	1	0.204056099105815	1	1	1
ABI1	1	0.188211810163258	1	1	0.689781146523138	1	1	1
ABI2	1	1	1	1	0.000108434818944479	1	1	1
ABI3	1	0.123979751868727	0.916895667103935	0.966641333746912	1.65444232966439e-08	1	1	1
ABI3BP	1	0.657323641600218	0.878705364749828	1	2.62087746715399e-11	1	1	1
ABL1	1	1	1	1	0.127906094795922	1	1	1
ABL2	1	0.00238853942693127	0.729010544915871	1	3.49854209958209e-06	1	1	1
ABLIM1	1	0.0990535290861967	1	1	7.00381620869602e-13	1	1	1
ABLIM2	1	1	1	1	0.0342851115187073	1	1	1
ABLIM3	1	0.978192139031068	1	1	0.0136924673274975	1	1	1
ABO	1	0.281327392380144	0.943558167068447	1	0.00397817206425132	1	1	1
ABR	1	0.66458293153713	1	1	0.0149567297062942	1	1	1
ABRA	1	0.520175361728369	1	1	0.223692132149247	1	1	1
ABRACL	1	0.873845920503458	1	1	1.17126104247264e-11	1	1	1
ABT1	1	0.977479790456696	1	1	0.000158323215392801	1	1	1
ABTB1	1	0.932962672003033	1	1	0.00941328720556071	1	1	1
ABTB2	1	0.980686529404856	1	1	0.0629993466653213	1	1	1
AC000111.3	1	0.16979569168894	1	1	0.559370707119015	1	1	1
AC002059.10	1	0.147366540748163	0.542903526024771	1	0.487718546527622	1	1	1
AC002064.5	1	0.765350264797571	1	1	0.657770414640953	1	1	1
AC003973.4	1	0.930421169829667	1	1	0.344316773372265	1	1	1
AC003989.4	1	1	1	1	0.437116406515143	1	1	1
AC004692.5	1	1	1	1	0.020653162921142	1	1	1
AC004941.5	1	0.639915642988623	1	1	1.59460378719594e-06	1	1	1
AC005162.4	1	0.500194686352793	1	1	0.0351813626293936	1	1	1
AC005224.2	1	1	1	1	0.0479211949440866	1	1	1
AC005256.1	1	0.751266868503874	0.485215010639542	1	0.000209291482308417	1	1	1
AC005306.3	1	0.773944960138969	1	1	0.0195544293909782	1	1	1
AC005498.3	1	0.549023137310214	0.73542493535106	1	0.0129040252587806	1	1	1
AC005523.2	1	0.193818556243092	1	1	0.273869474928699	1	1	1
AC005523.3	1	0.51086118882633	1	1	0.149584043398486	1	1	1
AC005537.2	1	0.956167752957478	1	1	0.176058624832135	1	1	1
AC005592.3	1	0.854341210460588	1	1	0.127674450812524	1	1	1
AC005606.14	1	1	1	1	0.0784667379487305	1	1	1
AC005785.2	1	0.685012151585962	1	1	1	1	1	1
AC005838.2	1	1	0.964592382420399	1	0.684121995793251	1	1	1
AC006026.13	1	1	1	1	0.26771677341992	1	1	1
AC006129.2	1	0.308766261574258	1	0.899287087074168	0.221109086889703	1	1	1
AC006538.1	1	0.527533566414557	1	1	0.00623411026914545	1	1	1
AC007292.3	1	0.0762447171232936	0.989032608895484	1	0.714943023938019	1	1	1
AC007349.5	1	0.0619661380942175	1	1	0.0317916303040523	1	1	1
AC007362.3	1	0.400588559400813	0.949680165794479	1	0.361801000177647	1	1	1
AC007365.3	1	0.658807096028781	1	1	0.0345137189423939	1	1	1
AC007389.3	1	0.221263586113648	1	1	0.208202138007316	1	1	1
AC007401.2	1	1	1	1	0.0965362064965754	1	1	1
AC007680.2	1	1	0.975962736321492	1	0.0942893719233995	1	1	1
AC007787.2	1	0.477237549443901	1	1	0.165380172595214	1	1	1
AC008088.4	1	1	1	1	0.0817373952905935	1	1	1
AC008746.12	1	1	0.890321023374453	1	0.196677116185954	1	1	1
AC008753.4	1	0.250224767166753	0.743826471429447	1	0.000360751231403764	1	1	1
AC009120.6	1	0.0294241112384883	1	1	7.10769871074886e-16	1	1	1
AC009133.15	1	1	0.981071190383903	1	0.018419730711317	1	1	1
AC009502.4	1	1	1	1	0.0457222281406433	1	1	1
AC010145.4	1	0.680136010422706	1	1	0.018640481485673	1	1	1
AC010524.4	1	1	1	1	1.27753092911929e-07	1	1	1
AC012065.7	1	0.317033511998194	1	1	3.88748216171215e-05	1	1	1
AC012360.6	1	0.756864864581209	1	1	0.0104602562117865	1	1	1
AC012499.1	1	0.490907915873463	1	1	0.133575243198519	1	1	1
AC012531.25	1	0.477031239637881	0.597073514345513	1	0.0132821777932552	1	1	1
