GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
A1BG	2643.23146137577	36.6601460517625	134.886540713107	109.120237443528	13.2228910149576	231.628275950736	605.505397460164	0
A1BG.AS1	4384.24994927671	20.9709084297314	50.2165201389123	0	8.05580604510385	221.96573361079	722.931207016534	288.849841414512
A1CF	0	66.9692196841662	235.892722318133	333.165650297407	25.5895586733633	977.088553900365	236.117171539938	1693.90436028364
A2M	1320224.86798456	1807.96491146021	5272.79143949084	578.491528279104	591.6137508879	25202.0645619893	6039.73961021339	60598.1610795543
A2M.AS1	0	3.01246078597363	0	287.404051302621	8.54814963695791	124.443431417635	8354.61864216345	1082.28955398747
A2ML1	145235.228991412	730.420690559671	1890.12475076968	2075.70951203489	283.443302473271	376.332351864987	47728.9747787214	0
A2MP1	1038.03174563594	30.5762456171423	10.858827048632	111.379656905671	9.64467585616465	91.1555319771284	1198.62604754337	533.663874328989
A4GALT	19147.4181219284	180.674575462739	42.0225961629739	461.96075934807	61.7193859487178	473.189553445148	48.9921768432885	0
A4GNT	0	20.4836112368127	103.385734336047	66.2472312645313	7.43910695704537	185.299321336173	564.480662478709	71.7300399987285
AA06	3120.29096006492	46.2990641713687	88.0462237515019	100.413490555058	15.5046666224758	238.213262302376	2763.97132586441	154.307489909296
AAAS	104124.780044778	180.01977409476	237.958947214959	129.003555802075	58.1519724520118	1182.13183009007	12692.729432141	2366.17464485298
AACS	890879.28367942	2249.61339768985	3441.37301618588	0	826.16497021724	10429.0823471198	104783.241904746	7468.67098293584
AACSP1	0	28.7266510025585	60.1856444837553	55.9819149932641	10.0511015273659	69.2355046890206	1548.14293736707	0
AADAC	0	613.028560495602	2530.20117547776	1164.57813504727	265.741326288192	5546.39547246089	63243.0760477659	2121.38477075322
AADACL2	384117.467571591	735.122904449799	1496.50430407831	2107.90468441302	277.994792938165	3850.96677877932	0	15141.3774944499
AADACP1	52687.2716420325	11.3646176108763	111.765365639417	59.4820682091843	4.74883193634455	157.693424695988	292.878718088685	0
AADAT	0	11.5570397436616	68.9458819525924	39.1581009436003	5.35941150169914	0	1457.42032810209	0
AAED1	0	315.613723587186	331.856894941879	91.5081184921418	120.81127936353	2212.92472259048	4228.44752183271	0
AAGAB	413973.611033405	228.906147873381	448.843864372541	789.511357568215	77.6927329139129	2486.5955895775	12388.0951178557	0
AAK1	736421.204537279	1329.70061686274	953.744505659636	26.3589767188338	437.23493580036	874.495245330884	12759.3551795917	0
AAMDC	211058.622258576	582.036038582707	775.627881224694	516.910981396704	191.666685842564	227.011788175468	19812.556410351	0
AAMP	16444.688251217	579.191710707176	422.334674925984	272.789956359751	183.670178623875	2233.64899176723	18487.9278001763	0
AANAT	5484.94855503697	0	36.6913326810583	9.99994805297191	1.64154602501433	45.6823238797332	0	0
AAR2	69214.3405341185	320.709859959701	961.204792432796	586.368163575261	107.317243554314	745.298360767098	3146.00018029199	9306.82459322001
AARS	82916.7266797084	984.675576918987	1874.60551620147	1526.30251593382	329.927520350508	7383.54307618145	1633.56356712202	17335.4659209856
AARS2	32157.789859209	81.2485910877038	177.762295160899	261.350390997777	28.7089624958464	537.032345726111	4157.81398414124	2118.22046444458
AASDH	20558.0149784975	45.9720493434155	117.562641077362	127.792282921266	16.0516923945065	535.257200367019	2383.82298758332	550.186643539584
AASDHPPT	0	1229.96731221859	2519.98314256749	2790.69009994374	407.043499359637	0	45244.4490293494	0
