Mixture	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial	P-value	Correlation	RMSE
GSM198875	0	0.259041297614292	0	0.0406016155613969	0.690550413016895	0.00980667380741638	0	0	9999	0.542324929315516	0.877638170189316
GSM198876	0	0.213356663340412	0.0528580452543355	0.0280007075388263	0.695017945895751	0.0107666379706746	0	0	9999	0.530714046478135	0.881829061825444
D_C_115	0	0.238813065564016	0.0186412517880587	0.00909133648215524	0.73345434616577	0	0	0	9999	0.516176489118442	0.88416923834601
GSM198877	0	0.277723675371696	0.0146511553018152	0	0.707625169326489	0	0	0	9999	0.512241892165683	0.887429218169138
D_C_71	0	0.203313479504721	0.0469844785852402	0.00188265619238654	0.747819385717652	0	0	0	9999	0.531607875219456	0.877206241060701
D_C_41	0	0.228390656449278	0.0336224079881328	0	0.732157382026163	0.00582955353642662	0	0	9999	0.519031703990059	0.88324247912182
D_C_14	0	0.278420329539512	0	0.0329383195856298	0.688641350874858	0	0	0	9999	0.433013958361522	0.91685446392722
D_C_42	0	0.240289142577916	0	0.0225224909832756	0.728657857580274	0.00853050885853405	0	0	9999	0.480804474318272	0.897561592560379
D_C_49	0	0.234509589212029	0.0558642983264333	0	0.699556173813427	0.0100699386481113	0	0	9999	0.510242312976227	0.888945144250384
D_C_198	0	0.294238300053812	0	0.0102816782651076	0.690119908636462	0.00536011304461878	0	0	9999	0.510929131324362	0.888996879569448
D_C_47	0	0.206028843985532	0.0361495604404705	0	0.74302762247496	0.0147939730990373	0	0	9999	0.545285102336587	0.872197409077462
D_C_31	0	0.262324973104411	0.0153255100780269	0.0298655138524158	0.690446089673583	0.00203791329156257	0	0	9999	0.506284984360926	0.890925129105422
D_C_104	0	0.256030462945238	0.00199197200310764	0.0156221074411333	0.725587750784752	0.000767706825769059	0	0	9999	0.532906233473822	0.878218350970549
D_C_29	0	0.256659584543282	0.0200023115571107	0.0166871757784244	0.701113578679534	0.00553734944164891	0	0	9999	0.478400189679885	0.900302567072218
D_C_39	0	0.2340494935501	0.0306385732657834	0.00585689202427472	0.72179327978227	0.00766176137757216	0	0	9999	0.535340119687839	0.877872989821336
D_C_40	0	0.194853915090979	0.0057995359165188	0.0162471257085279	0.766610337625878	0.0164890856580965	0	0	9999	0.546315413325511	0.869462230121692
D_C_52	0	0.272445463838587	0.0378158426594853	0.0085157216616002	0.677053199726248	0.00416977211407948	0	0	9999	0.530366330360039	0.883420843580202
D_C_25	0	0.318854556077549	0	0.0252829640198137	0.655862479902637	0	0	0	9999	0.521136255296338	0.887879998762765
D_C_84	0	0.166461420703106	0	0.0159899240914837	0.816820209403977	0.000728445801433371	0	0	9999	0.538547370837029	0.868573187388204
D_C_179	0	0.246162977688525	0.0174284129682992	0.0242093300758819	0.712199279267294	0	0	0	9999	0.501622744653	0.891117191672762
D_C_162	0	0.22242990763512	0.00173141856270108	0	0.77014417109595	0.00569450270622956	0	0	9999	0.524582279096996	0.877981856606595
D_C_135	0	0.24650603265764	0.00381288353104941	0.0178888950463744	0.731792188764936	0	0	0	9999	0.532308331987262	0.877981061373976
D_C_15	0	0.259105615939998	0.0215144814903671	0.0233366312885952	0.687634089417761	0.00840918186327833	0	0	9999	0.537615615146607	0.879890005549573
D_C_60	0	0.255621554313473	0	0.0367364004786933	0.707642045207834	0	0	0	9999	0.529935459870058	0.880774927429077
D_C_81	0	0.260379864716694	0.035510822863295	0.00950109340554879	0.688470922166295	0.00613729684816652	0	0	9999	0.519337090231726	0.886492073611368
D_C_152	0	0.203280089793229	0.0241228552185517	0.0313067930944786	0.735453836690398	0.00583642520334289	0	0	9999	0.506189643561513	0.887715353869918
D_C_178	0	0.227794498530308	0.0179600159382995	0.0329560467277018	0.71488691389366	0.00640252491003117	0	0	9999	0.555086359604246	0.870963938044372
D_C_194	0.00057529667744067	0.221243791934405	0.0100470376131707	0.0171849114640537	0.744463212109366	0.00648575020156365	0	0	9999	0.558055888876401	0.866957363863225
D_C_157	0	0.247325810400849	0	0.0391682307889085	0.704156995824207	0.00934896298603487	0	0	9999	0.522997577320481	0.883576743231716
D_C_90	0	0.287383911031622	0.0165164854623338	0.00984154416084291	0.6759617667867	0.0102962925585013	0	0	9999	0.532986588695225	0.882375413061998
D_C_188	0	0.212071869667853	0.0155022041242134	0.0499011089674098	0.720738447607329	0.00178636963319492	0	0	9999	0.473396259789105	0.900708104931777
D_C_127	0	0.287660684208141	0.0139184624891484	0.0176270674715915	0.67782328167483	0.00297050415628985	0	0	9999	0.513805988900284	0.889094254961101
D_C_147	0	0.239741934112081	0	0.023161129767311	0.737096936120608	0	0	0	9999	0.521706316422624	0.881579776589638
D_C_51	0	0.254863908205735	0	0.0265978886327125	0.706354526383099	0.0121836767784536	0	0	9999	0.519169874880258	0.884824257440603
D_C_54	0	0.20976783219904	0	0.0223328891728834	0.761794000548583	0.00610527807949368	0	0	9999	0.546218374902791	0.869949910013633
D_C_66	0	0.235557569478462	0.0332498589595913	0.0264710395973444	0.704721531964602	0	0	0	9999	0.559053925703338	0.870563514132016
D_C_91	0	0.246960190977573	0	0.019953323383453	0.72794805446762	0.00513843117135443	0	0	9999	0.53418801513758	0.877515050229003
D_C_38	0	0.235917653255438	0.0043458645279874	0.0221153936467568	0.735781121633557	0.00183996693626104	0	0	9999	0.535030369267862	0.87661871043783
D_C_19	0	0.279611548536719	6.96317016229731e-05	0.00922361496236137	0.711095204799296	0	0	0	9999	0.506274055452436	0.889254370419654
D_C_161	0	0.249925470299732	0.00429382829483517	0.00437946777732661	0.731010076702226	0.0103911569258805	0	0	9999	0.484845509634549	0.896004570087552
D_C_138	0	0.199026142415112	0.0137891402907635	0.0191497668243887	0.760466133866029	0.00756881660370658	0	0	9999	0.527126374792593	0.877750656726388
D_C_182	0	0.22038415056099	0.0141509419410354	0.0204235409802252	0.738404257369478	0.00663710914827172	0	0	9999	0.53752778638845	0.875526131773457
D_C_196	0	0.29366524810147	0.00379844071014626	0.00739114846537193	0.691931770184718	0.00321339253829343	0	0	9999	0.382261592261024	0.934625951341479
D_C_177	0	0.295932446715727	0.01252708021164	0.0106233844144565	0.679154745145875	0.00176234351230141	0	0	9999	0.537650502075398	0.880327771322131
D_C_17	0.000395727828544279	0.274439043616433	0.00296640862670447	0.0240805723633617	0.689194264231474	0.00892398333348243	0	0	9999	0.515618946491141	0.887469120127678
D_C_137	0	0.196911546434749	0.029561026694755	0.0120994502699375	0.761427976600558	0	0	0	9999	0.516655704219384	0.881959442148354
D_C_160	0	0.259854817604375	0.00558066615525906	0	0.72958886249122	0.00497565374914597	0	0	9999	0.532409803605809	0.878077389272011
D_C_62	0	0.183490259176561	0.0172036519736755	0.00828859083861467	0.785259694838208	0.00575780317294113	0	0	9999	0.511964257948134	0.882033245684889
D_C_46	0	0.213355367475756	0.0415385417586948	0.00820624734543991	0.73689984342011	0	0	0	9999	0.506160534678748	0.887821066227073
D_C_174	0	0.282628189458642	0	0.000261734482070252	0.709155231041731	0.00795484501755698	0	0	9999	0.493144791724426	0.894208509793267
D_C_18	0	0.209493767314508	0.0212141165486962	0.0111883817619296	0.758103734374866	0	0	0	9999	0.519259986581736	0.881160079543556
D_C_144	0	0.280965992277282	0.0254281503519401	0.017397471138744	0.672736672492178	0.00347171373985615	0	0	9999	0.439039185122484	0.915685451127917
D_C_175	0	0.252142004763953	0.024078908087307	0.0336810399433848	0.690098047205355	0	0	0	9999	0.529888677225437	0.882520830664578
D_C_153	0	0.279908528869117	0.0135671622973013	0.0218119763559603	0.684712332477621	0	0	0	9999	0.534860528502815	0.880997179949874
D_C_119	0	0.203450893357531	0.000833262992699877	0.0125144480634542	0.776657069403487	0.00654432618282808	0	0	9999	0.509998368414047	0.883287912568069
D_C_53	0	0.227767320703412	0	0.0145280931834197	0.751870027079586	0.00583455903358189	0	0	9999	0.48653415357694	0.894072959570709
D_C_100	0	0.248079796188817	0.0228323349260016	0	0.729087868885181	0	0	0	9999	0.492817227789553	0.893337456980711
D_C_185	0	0.227502576086156	0	0.0211151114381111	0.741355806270701	0.010026506205031	0	0	9999	0.5113001563302	0.885195355762656
D_C_28	0	0.260166372277633	0.00188541936052314	0	0.726671620774676	0.0112765875871681	0	0	9999	0.519045309779313	0.883337819066291
D_C_200	0	0.238518891378162	0.0193509388673212	0.0376316833648515	0.704498486389665	0	0	0	9999	0.504785583127603	0.890472414274026
D_C_96	0	0.266176828176388	0.000849265110516117	0.0203143629431073	0.706311633047917	0.00634791072207119	0	0	9999	0.531203541347999	0.880403313292688
D_C_197	0	0.235176198237523	0.0177235198872587	0.0587459805613696	0.667259891469199	0.0193765625781373	0	0.00171784726651224	9999	0.548199550348007	0.877747576894546
D_C_158	0	0.216275748445241	0.0600354937995271	0.0202228198391406	0.684344979651175	0.0191209582649158	0	0	9999	0.529196579082648	0.883191745284452
D_C_136	0	0.198649346004773	0.0116076437194688	0.0176292431752382	0.77211376710052	0	0	0	9999	0.526900587889528	0.876979955230281
D_C_123	0	0.196304375967239	0	0.00987120223464666	0.789337047084462	0.00448737471365295	0	0	9999	0.534026863575208	0.872645441003669
D_C_87	0	0.25068098906704	0.0299773682540403	0.0305473985101337	0.670111642623206	0.0186826015455796	0	0	9999	0.546132311607061	0.878416354799034
D_C_92	0	0.183414956418039	0	0.0345684868488441	0.765789393731617	0.0162271630015003	0	0	9999	0.510043582185784	0.883704729173777
D_C_159	0.000196867962500129	0.324384437136397	0	0.0175628532553444	0.657855841645758	0	0	0	9999	0.53211121160855	0.883771333005722
D_C_122	0	0.248287866698948	0	0.0156998441835169	0.728653768083224	0.00735852103431096	0	0	9999	0.558259705939885	0.868201889773984
