GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	17063.9636315164	151.482826905649	412.238444714369	80.0372765895361	90.767394276176	348.869238969794	0
A1BG.AS1	5657.34908208382	41.2763903871845	167.300868737514	0	15.5281903553702	318.58090519562	0
A1CF	0	293.328422946941	598.361213074875	696.269011574615	76.7365112976356	789.816263808271	5269.43385712218
A2M	1662294.48699764	0	12324.8772481569	0	5786.75110482889	4719.72017784971	0
A2M.AS1	15422.3615772972	197.461821023325	254.641028099903	0	223.331537405971	2627.06062577278	0
A2ML1	523709.024098454	0	0	8673.16152795803	1639.88785040224	13423.203351232	0
A2MP1	0	88.8238271474827	0	0	74.9292467900312	0	4110.52955786377
A4GALT	37063.933094495	264.256860293612	0	1047.38950376978	134.221975369107	0	0
A4GNT	0	87.358828538542	288.787660254513	0	63.1506519051907	0	0
AA06	4498.40626343506	124.312951888882	262.066864675817	0	94.7225719442224	887.352503043781	0
AAAS	223043.72962602	98.9264371254821	0	0	403.757001971931	407.903176217513	22737.8590876704
AACS	0	0	8559.66198563127	0	4976.04773837172	34288.5654751396	0
AACSP1	4872.18371807093	52.9404057492322	150.705579932625	0	45.6466746306782	0	3889.95058685739
AADAC	0	1313.14426129316	2131.63956194169	3762.47143608921	818.414639889605	5614.4765264354	0
AADACL2	1	4542.34124787756	1	1	4513.32467371804	1	1
AADACP1	39732.0431908927	67.7817769656305	59.8988081531809	16.9432636972174	3.88525767774796	254.731857560519	0
AADAT	0	0	175.344576660351	0	78.71961010458	0	4920.64948603172
AAED1	0	630.371555235092	0	0	358.690495636846	0	0
AAGAB	0	1303.16944584678	824.009377334001	2302.71292666769	591.3953067095	495.017325517506	0
AAK1	75586.1728790541	2157.58794470806	7593.54214998709	2775.38768056353	1414.37135179795	0	762734.378904537
AAMDC	221402.202692606	1297.58985857426	1339.96620748278	711.84871160495	1122.8271085685	0	0
AAMP	0	1258.43409153879	0	0	1106.6051356159	2920.34270819302	0
AANAT	0	0	0.926136733789853	49.2669492497101	16.9497813529715	0	0
AAR2	0	1261.19376008823	4433.16731231023	5550.73626660116	776.491313426642	0	17413.980986021
AARS	1356481.46787551	4157.13424147254	4971.15345472643	0	1129.53002881442	0	0
AARS2	1	512.635860943683	1	1	557.608752114229	1	1
AASDH	1	701.586109989212	620.081262575866	1	626.259070179865	1	1
AASDHPPT	0	1557.58388980042	0	2867.67612178294	2116.65227469818	14024.0789676415	0
AASS	0	359.694839518367	513.902340023948	0	210.160432156867	718.229814121953	0
AATF	301263.468372501	1855.35179687932	3012.70054768971	0	897.104139107614	13436.9891230644	149320.279097874
