GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	0	NA	NA	NA	NA	0	18490.6542915511
A1BG.AS1	NA	30.1109262310238	58.417077386894	NA	21.5559290732747	NA	987.047191111105
A1CF	0	NA	NA	NA	NA	3411.769874541	NA
A2M	NA	7961.88422425418	NA	9114.39828859982	3099.89076504407	0	NA
A2M.AS1	0	NA	NA	NA	NA	2600.69302518929	0
A2ML1	NA	2085.96902023537	NA	8064.99075696712	NA	0	199481.815004048
A2MP1	NA	148.592241077196	NA	NA	NA	NA	NA
A4GALT	0	NA	NA	NA	169.932762692794	1045.35992463184	0
A4GNT	0	0	699.50038213241	NA	114.050510088162	NA	0
AA06	NA	153.271153170987	NA	NA	81.0506698215353	NA	NA
AAAS	NA	NA	NA	NA	NA	NA	NA
AACS	NA	3260.47773471302	NA	NA	3228.58869889838	NA	NA
AACSP1	NA	43.145751091702	NA	1	50.0503090326113	NA	NA
AADAC	NA	NA	5568.27544526562	NA	1206.11456224374	NA	0
AADACL2	1	NA	1	NA	6133.29202145555	1	NA
AADACP1	0	NA	NA	NA	21.9089195993912	NA	NA
AADAT	NA	127.210372053664	0	NA	NA	858.035323200197	0
AAED1	0	800.118635121612	NA	1611.89617978774	NA	NA	NA
AAGAB	0	878.59715058655	2860.67735165769	NA	715.489980404868	NA	55106.4495144205
AAK1	NA	NA	NA	NA	2198.95292733935	NA	NA
AAMDC	NA	996.632483111821	NA	NA	1201.60161105915	NA	NA
AAMP	0	NA	3194.01845597972	NA	1263.11415270138	NA	NA
AANAT	0	21.9329983690353	NA	198.809231023822	NA	NA	1543.36384132669
AAR2	0	1323.98117874304	NA	NA	904.961185382247	NA	NA
AARS	NA	1198.80343598865	NA	NA	2271.4826791292	NA	NA
AARS2	NA	NA	2949.10722009831	NA	NA	0	NA
AASDH	1	627.078031744584	1108.78187502705	970.554868388503	622.824807570647	NA	NA
AASDHPPT	0	NA	NA	NA	2588.13339063069	NA	NA
AASS	NA	734.940910617292	NA	1174.06451989371	NA	0	0
AATF	NA	1319.44513108729	NA	1	1140.15363539927	1	NA
AATK	NA	NA	NA	0	362.234933228611	NA	NA
AB488780	NA	505.958446713281	1292.14534485413	1	386.996508781846	1	NA
ABAT	NA	416.30139281092	2342.07452045136	NA	297.885281076561	0	NA
ABCA1	NA	NA	NA	NA	2305.66082095347	NA	132531.404468185
ABCA11P	1	334.570674968316	1	1	385.599994720789	NA	1
ABCA12	0	NA	NA	4767.9351966415	1740.97416837336	0	NA
ABCA13	0	NA	1033.62559115898	NA	NA	NA	NA
ABCA17P	NA	NA	NA	NA	55.8967573570673	NA	NA
ABCA2	NA	NA	NA	NA	NA	5225.04368577903	NA
ABCA3	NA	660.402684135955	NA	NA	NA	NA	0
ABCA4	NA	189.422163487422	NA	236.440031323594	NA	1069.90523806191	NA
ABCA5	NA	NA	3572.74702922885	NA	NA	0	NA
ABCA6	NA	811.215277766842	NA	NA	470.488163483771	NA	0
ABCA7	NA	NA	1	NA	348.321139361547	NA	NA
ABCA8	NA	1	NA	NA	4102.84122097793	1	NA
ABCA9	0	NA	NA	NA	398.196054826615	3997.53334423248	0
ABCB1	NA	75.4272409233652	0	NA	86.047127686366	1112.63145760742	4311.52368082744
ABCB10	1	1358.29333287849	1	NA	747.274048701603	1	1
ABCB11	0	NA	NA	NA	NA	NA	NA
ABCB4	NA	363.875990935665	NA	710.009732554258	NA	NA	NA
ABCB5	NA	NA	NA	NA	NA	NA	NA
ABCB6	NA	306.001083533666	NA	1	470.182773242206	NA	NA
ABCB7	1	NA	NA	NA	767.38834551757	NA	NA
ABCB8	NA	93.8506596974704	1	NA	242.942133120707	1	NA
ABCB9	NA	NA	0	NA	195.473011304528	0	NA
ABCC1	NA	1466.81084770162	3415.4471935954	NA	1394.36927365217	1	1
ABCC10	NA	1293.58768129858	NA	NA	969.364394897016	7571.99551416096	99252.0650183654
ABCC11	0	56.352241046471	178.162871942873	0	31.3834648396602	0	NA
ABCC12	0	NA	NA	NA	NA	0	NA
ABCC13	NA	NA	0	NA	41.4628330210001	NA	NA
ABCC2	0	NA	NA	NA	59.2555568838345	0	0
ABCC3	NA	1	NA	1	785.915575320604	NA	NA
ABCC4	NA	NA	1970.67488503365	0	546.535987846939	NA	17688.4724727413
ABCC5	1	1261.97887614528	NA	1	680.002263165149	NA	1
ABCC6P1	0	0	0	0	8.86271065801861	0	696.611659110956
ABCC8	1	14.6867477227003	1	1	13.0722761392168	1	1
ABCC9	0	120.615422183852	0	0	130.350675174234	NA	7030.28292159581
ABCD1	0	195.565109718342	435.068078472937	NA	173.953102311955	NA	NA
ABCD2	0	NA	0	213.447248487284	40.9334643084856	NA	NA
ABCD3	NA	5890.03757822284	NA	NA	4440.54113758262	NA	NA
ABCD4	NA	NA	NA	NA	631.789897703032	NA	59456.0106865969
ABCE1	0	NA	NA	NA	1116.25508394925	NA	NA
ABCF1	NA	1636.04201812167	NA	NA	1757.77190280061	13065.9402222338	NA
ABCF2	1	NA	NA	NA	975.682581827167	NA	NA
ABCF3	1	673.834361813571	NA	NA	493.803730507863	1	NA
ABCG1	NA	NA	NA	NA	1700.91863218426	NA	163060.819347218
ABCG2	0	409.283234070917	NA	NA	NA	3531.39410071737	0
ABCG4	0	247.768048250165	NA	NA	122.428765248521	NA	0
ABCG5	0	NA	55.7297218827434	NA	NA	413.925776051625	NA
ABCG8	NA	NA	0	67.342382651037	20.6084673802407	161.078278788869	0
ABHD1	0	NA	0	NA	118.576818229652	NA	NA
ABHD10	1	1094.81524464697	1	1	1019.44765820338	NA	NA
ABHD11	1	462.576830317475	NA	NA	592.932885877109	1	1
ABHD12	NA	NA	NA	NA	2027.78941274413	NA	NA
ABHD13	NA	327.150671169775	NA	744.080704818113	204.706486972245	NA	0
ABHD14B	NA	1089.66745785041	1	NA	984.538121869134	1	NA
ABHD15	1	367.819035474005	1	1	254.789288732314	NA	1
ABHD16A	1	1076.18670740566	1	NA	561.603606442091	1	1
ABHD16B	NA	12.2371854984292	0	0.323125203722691	NA	0	599.187947173639
ABHD17A	NA	0	NA	NA	5597.13468914001	NA	0
ABHD17B	NA	2065.02181572752	NA	NA	1856.99212073275	16908.8152691441	0
ABHD17C	NA	1069.86627207568	NA	1	928.224342043005	1	NA
ABHD2	NA	809.978111801206	1	1	800.835515928323	NA	1
ABHD3	1	955.628433067102	1	NA	1045.80922964607	NA	1
ABHD4	0	NA	0	NA	NA	20201.2476828466	NA
ABHD5	NA	NA	NA	10511.9671044209	945.290038377561	41900.7763840919	NA
ABHD6	0	1784.33952854137	8136.33464854048	5173.68108940686	1100.52160240477	NA	NA
ABHD8	NA	111.029486981577	NA	261.913404267803	118.149505616678	0	NA
ABI1	0	NA	NA	NA	3167.62489203417	NA	0
ABI2	NA	1535.70523989878	2052.0481915394	NA	1115.332846648	NA	NA
ABI3	NA	300.811951468972	1	1	237.636709193267	NA	1
ABI3BP	NA	2687.23539387918	1	NA	5360.96218257145	NA	1
ABL1	NA	NA	NA	NA	2370.03846430033	NA	0
ABL2	0	669.401185984287	NA	NA	428.746317296087	4840.97059762764	NA
ABLIM1	0	17166.1758012008	NA	0	7254.79608027118	NA	NA
ABLIM2	NA	613.58493453424	NA	0	NA	NA	NA
ABLIM3	0	746.671380796718	NA	NA	NA	NA	NA
ABO	0	NA	NA	NA	208.602139866753	NA	NA
ABR	1	1	NA	NA	2616.41958666705	NA	1
ABRA	NA	NA	NA	NA	NA	0	2126.039758442
ABRACL	0	1249.75799962418	NA	4011.99262785851	1506.85232747845	0	NA
ABT1	1	658.041559137995	1	1	604.62357671284	NA	NA
ABTB1	NA	NA	NA	NA	616.233488569934	NA	0
ABTB2	0	702.768341201978	NA	0	NA	NA	NA
AC000111.3	NA	NA	NA	0	NA	0	NA
