GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	0	NA	NA	NA	NA	NA	0
A1BG.AS1	NA	32.6709732932374	1	NA	22.9592377575306	1	1
A1CF	NA	402.251383620119	NA	0	NA	2049.38279331829	NA
A2M	1	NA	NA	NA	5191.18680545353	NA	NA
A2M.AS1	NA	428.007276669702	NA	NA	NA	NA	0
A2ML1	0	NA	NA	NA	NA	NA	0
A2MP1	NA	122.444931499364	248.805288165499	320.201240564608	NA	0	NA
A4GALT	NA	NA	NA	NA	208.926833483687	NA	NA
A4GNT	0	NA	0	NA	NA	NA	0
AA06	0	NA	NA	410.525828131217	95.7156214679337	866.145860807197	0
AAAS	0	NA	NA	NA	325.003490041072	NA	NA
AACS	NA	6685.37124112225	NA	NA	2712.94698621822	NA	0
AACSP1	NA	65.5360518497109	NA	126.313441492452	42.8009429794328	0	NA
AADAC	1	NA	NA	NA	1269.32693879907	NA	NA
AADACL2	NA	NA	1	NA	5870.3805314834	NA	1
AADACP1	0	42.7105568314348	NA	60.6380594482396	14.3652706259482	NA	0
AADAT	0	NA	0	0	56.7864581763474	NA	NA
AAED1	NA	534.356044700331	NA	1811.0495966023	309.10259242476	0	0
AAGAB	NA	1341.46135265114	NA	NA	628.179721449231	NA	NA
AAK1	NA	NA	NA	NA	1978.63680424188	NA	NA
AAMDC	NA	903.390415374307	NA	NA	1264.5009602919	1	1
AAMP	NA	NA	NA	NA	1103.00453015235	NA	0
AANAT	NA	36.2501190957433	NA	NA	NA	NA	0
AAR2	NA	NA	NA	1	1137.3131358455	1	1
AARS	NA	1731.26940779638	NA	NA	2042.36403691133	1	NA
AARS2	0	NA	NA	2004.12978641121	588.886477567269	NA	NA
AASDH	NA	632.610592319816	NA	1	658.238529816471	NA	NA
AASDHPPT	0	NA	NA	NA	2065.4177107897	0	0
AASS	NA	614.120259714537	NA	NA	NA	NA	NA
AATF	NA	980.823467937624	NA	NA	1275.94213719988	NA	NA
