GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	0.65359623515015	0.0271898804318961	0.146013323410083	1	0.550168696206451	1	1
A1BG.AS1	0.835167370357037	0.0859140174646147	0.993458078500895	0.717029512483594	0.000164213518130754	1	1
A1CF	1	0.219367745595545	0.691638118266734	0.486010183951962	0.429099841620512	0.242893351376787	1
A2M	0.928067648171569	0.00176939676781586	0.712390008624487	0.313716893785377	0.00362436783146369	1	0.536274864114349
A2M.AS1	1	0.0172996550020617	0.849949136372717	0.683209873558631	0.0208320501546372	1	1
A2ML1	1	0.430089892617715	0.677089686897852	0.487019536210576	0.030550237405681	0.999300572179101	1
A2MP1	1	0.160163125949433	0.168559354762482	0.836783107494128	0.00606152130327567	1	0.853894367669974
A4GALT	0.430736923354762	0.297086993850494	1	0.538123494479248	0.00238028948473957	0.672880070011901	0.718876710220495
A4GNT	0.486674131535686	1	1	1	0.170869570463415	1	1
AA06	0.21825576195878	0.350163128082782	1	0.229521679763492	1.63118832177891e-05	1	1
AAAS	1	0.203542798221862	0.402700691554171	1	0.0099577393180544	0.693382489818501	1
AACS	1	0.119381531640861	1	0.258479505267877	0.0197689486584639	0.706806815697986	1
AACSP1	1	0.0112065757029147	0.166197362993585	0.104118080289552	1.6858750430152e-05	1	0.363956106719627
AADAC	1	0.172442004979373	0.0448098195262637	0.851931025494288	2.12508422527199e-05	1	1
AADACL2	1	0.0439839157190209	0.151081214345377	1	3.54496623692252e-05	1	1
AADACP1	0.252619958897837	0.0954877299535947	1	0.67545363431099	0.00347971083092543	1	1
AADAT	0.560489030212942	0.0649304889130178	1	1	0.143224908233417	0.524713827054064	0.482252171443441
AAED1	1	0.0027428057978139	0.417128541975581	0.346639825339107	0.000613105397192294	1	0.966029607973322
AAGAB	1	0.0030792939549856	0.398601344467437	0.474140991216437	0.00808874088797712	1	1
AAK1	1	0.597694720368571	0.712712838477947	0.429623731104511	4.88019469467877e-06	1	0.245553530856811
AAMDC	1	0.000666319002223075	1	1	1.34504388423524e-09	1	1
AAMP	0.570748850235716	0.188875346246051	0.556982210788933	0.357267393651147	0.00837018271460022	1	1
AANAT	1	0.0893123747191895	0.611063831130856	0.921304501966762	0.802287299127834	0.997732048520748	1
AAR2	1	0.886720470163913	0.752134741253597	0.851319004722106	2.12835902326601e-07	0.0334544121675579	1
AARS	1	0.0164849804866603	0.632757869656802	0.918409946371821	8.92454891889458e-12	0.343234287036641	0.744558941567245
AARS2	1	0.168488369323025	0.144350856872967	0.605002349259445	0.00692554757235713	1	0.86041599798347
AASDH	0.492254916129078	9.61147713340921e-12	0.000895457586196057	0.0482569618873746	1.36456799575273e-31	1	1
AASDHPPT	1	0.171885328589781	1	1	7.64956952636973e-07	1	1
AASS	0.870155692409506	0.339613488731893	0.150635816988984	1	0.00483644992166003	0.815900897839788	0.905592833584855
AATF	1	0.00452490514377305	1	1	1.57018137695294e-11	1	0.837521571315929
AATK	1	1	1	1	2.99331927886266e-05	1	1
AB488780	0.286108468456814	0.000108470777117969	0.0205710598624833	0.499045635517371	8.10981781170029e-09	0.444173538081408	0.451498038432771
ABAT	0.041223942777831	0.0571150597893988	1	0.032375538370857	0.00455579473352964	1	1
ABCA1	1	0.00418362945093976	0.0996149872384836	0.687529630378372	0.0110326196884834	0.639238919082906	1
ABCA11P	1	0.00438572463563369	0.473930871861964	0.107952601353029	2.4886988513982e-12	0.569278788227205	1
ABCA12	1	0.186302298227606	1	1	0.00411688572791046	1	1
ABCA13	0.292084354505259	0.117237908658891	0.572884818099402	0.377489542501506	0.582206655111926	0.896991756528357	1
