GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	1	0.0780186493327895	1	1	0.0086217376698019	1	1
A1BG.AS1	1	0.205409739982147	1	1	0.142705650378875	1	1
A1CF	1	0.623369101141105	1	1	0.0503959188595885	1	1
A2M	1	0.961132599000276	1	1	0.00467797395948698	1	1
A2M.AS1	1	1	1	1	0.00256660879832414	1	1
A2ML1	1	1	1	1	6.4208293613231e-05	1	1
A2MP1	1	0.145103097199728	1	1	5.08644661922455e-05	1	1
A4GALT	1	0.476400103556687	1	1	0.141369944791865	1	1
A4GNT	1	0.471430839806245	0.107851932593597	1	6.52790093308832e-08	1	1
AA06	1	0.643319909843411	1	1	6.78243100144974e-05	1	1
AAAS	1	0.487074870865704	1	1	0.0634488500356634	1	1
AACS	1	1	1	1	0.0688055158020853	1	1
AACSP1	1	0.234585193602148	1	1	0.0453059980882439	1	1
AADAC	1	0.315033019650737	1	1	0.595202173838726	1	1
AADACL2	1	0.000154439545399281	1	1	1.8006492273369e-14	1	1
AADACP1	1	0.0940294690657251	1	1	1	1	1
AADAT	1	0.242316500897191	1	1	0.507916850986674	1	1
AAED1	1	1	0.852992612632905	1	0.0239600743071804	1	1
AAGAB	1	0.382161801767147	1	1	0.0020676069625909	1	1
AAK1	1	0.0300909986984645	1	1	0.409289417300781	1	1
AAMDC	1	0.485903944305575	1	1	0.000175620574536023	1	1
AAMP	1	0.263093800417049	1	1	0.00130374845725028	1	1
AANAT	1	1	1	1	0.121774391691336	1	1
AAR2	1	0.248704812877251	0.674194979237001	1	0.00256150470073117	1	1
AARS	1	1	0.842763937669449	1	0.000340766488346686	1	1
AARS2	1	8.85988574849495e-06	1	0.540104566972893	7.88237994134938e-14	1	1
AASDH	1	1.07355140541718e-05	0.334071229439045	1	3.11383960050808e-27	1	1
AASDHPPT	1	0.519030756189153	1	1	5.5170514913924e-06	1	1
AASS	1	0.769869940657227	1	1	0.0326609036691213	1	1
AATF	1	0.0246980199208734	1	1	0.0147624773321803	1	1
AATK	1	0.128165544286527	1	1	1	1	1
AB488780	1	0.114096845463478	1	1	0.085324294330858	1	1
ABAT	1	0.30806494131859	1	1	0.0303598549799119	1	1
ABCA1	1	0.395941587389037	1	1	0.144151672984213	1	1
ABCA11P	1	0.313709746836437	1	1	0.146409323715929	1	1
ABCA12	1	0.74425153858207	1	1	0.0188320157408579	1	1
ABCA13	1	0.925963445583427	1	1	0.191982150053128	1	1
ABCA17P	1	0.169057570756935	1	1	0.0312211350957749	1	1
ABCA2	1	0.984682735976336	1	1	0.0591106637364266	1	1
ABCA3	1	0.581875307739681	1	1	0.00330960507244691	1	1
ABCA4	1	0.319151597096747	1	1	0.613246540033917	1	1
