Mixture	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial	P-value	Correlation	RMSE
GSM198875	0.103004475726393	0.203563321679036	0	0.0841242627220545	0.573763653693266	0.00594218836252661	0	0.0296020978167233	9999	0.516849742278296	0.877957421944553
GSM198876	0.0762742460133388	0.0995796538199479	0	0.0922947191346486	0.718142095294832	0	0	0.0137092857372325	9999	0.59333125948039	0.843220844677007
D_0_3_26	0.091295193000647	0.0976486011219837	0	0.142094672949152	0.668961532928217	0	0	0	9999	0.506082609023143	0.877079056139587
D_0_3_82	0.087375492652233	0.105678071135248	0.00934362467046011	0.109945223514111	0.670415313292726	0	0	0.0172422747352222	9999	0.53670500888773	0.86705675630489
D_0_3_191	0.114033037087387	0.179350855067266	0	0.134776112598477	0.567058130555596	0	0	0.00478186469127476	9999	0.489647711416105	0.883977592711192
D_0_3_28	0.0830625536237784	0.16099876190536	0.0021542014443415	0.109436705140674	0.641628922275664	0	0	0.00271885561018146	9999	0.504829884588721	0.882383546059668
D_0_3_43	0.0947188586157966	0.136271585394016	0	0.0909722454960136	0.678037310494174	0	0	0	9999	0.516840068368731	0.873240406828584
D_0_3_157	0.0960241155574399	0.142423754313668	0	0.0975626710981766	0.629942078674148	0.0230835271203432	0	0.010963853236224	9999	0.516491287047355	0.875364313583781
D_0_3_136	0.0933014423694122	0.111927059509083	0	0.11563090538531	0.671160267674897	0	0	0.00798032506129865	9999	0.570850935835573	0.851087620473104
D_0_3_102	0.102894749287531	0.123953863184639	0	0.106231737051168	0.659544929230437	0	0	0.0073747212462248	9999	0.546472466725446	0.859748948584602
D_0_3_150	0.0909496444144814	0.0959663246996336	0	0.113862770889929	0.699221259995956	0	0	0	9999	0.521604025252599	0.869964107610996
D_0_3_62	0.0823496600578059	0.148953213438499	0.00261539915963396	0.091132310363949	0.674949416980112	0	0	0	9999	0.566701672479071	0.856613635162024
D_0_3_34	0.11859974036395	0.0991072889830387	0.015077969239944	0.112889984173602	0.648360617013453	0	0	0.00596440022601118	9999	0.486787311064622	0.881479526416083
D_0_3_161	0.0991953602487394	0.114771703331708	0	0.120822124243988	0.650322155110734	0	0	0.0148886570648302	9999	0.541782087473581	0.86285049105908
D_0_3_165	0.0853951958798635	0.10781494063962	0	0.124666999879674	0.682122863600842	0	0	0	9999	0.58543428349537	0.845865628440816
D_0_3_140	0.100539864774991	0.153887685676745	0	0.119819565556644	0.60208593955174	0	0	0.0236669444398801	9999	0.533719799267465	0.869210694289702
D_0_3_91	0.0979474854746317	0.136038811547935	0	0.105249605557028	0.660764097420406	0	0	0	9999	0.594647999896513	0.840983889312009
D_0_3_155	0.071338491176849	0.100315564784929	0.0163211490116245	0.0784264635574965	0.722401113440253	0	0	0.0111972180288481	9999	0.608471373471377	0.838446215947543
D_0_3_119	0.0851654013874063	0.105042116531119	0.00657782259437511	0.0806803884511064	0.711397359503283	0	0	0.0111369115327101	9999	0.568820535498818	0.852157730832537
D_0_3_163	0.100987922390273	0.174268525929326	0	0.126680706089357	0.588960872104808	0.000548216371671867	0	0.00855375711456419	9999	0.512868461028701	0.877505860868778
D_0_3_180	0.0988776261645963	0.146128089268702	0.00128399516723359	0.102738136633183	0.623815838638144	0.00483667869883015	0	0.0223196354293109	9999	0.536321705890845	0.867730885116705
D_0_3_123	0.100681402640262	0.165071541872089	0	0.100669578353813	0.62640048940373	0	0	0.00717698773010564	9999	0.534252142467296	0.867876163232816
D_0_3_37	0.102309302593651	0.145058921385799	0	0.094315103278951	0.655496123604181	0	0	0.00282054913741885	9999	0.501047669118613	0.879160498267972
D_0_3_46	0.0964326108020693	0.18566651424793	0	0.125396081826227	0.58694494575763	0	0	0.00555984736614402	9999	0.470227810619326	0.89483176418913
D_0_3_108	0.0881033618172733	0.101977012711728	0	0.0981174363555446	0.711802189115454	0	0	0	9999	0.553317295085253	0.85705411950832
D_0_3_169	0.0750795831532797	0.122170817696719	0.00203301246638424	0.11135010268392	0.688654554135361	0.000711929864336056	0	0	9999	0.557787707658661	0.859992222833088
D_0_3_113	0.104128761421753	0.1032692460261	0	0.106015097745539	0.684796235707661	0	0	0.00179065909894768	9999	0.587245594202221	0.83985227232798
D_0_3_47	0.102637706453257	0.138695030443759	0	0.0832345395264531	0.671438275221272	0	0	0.00399444835525899	9999	0.535559009384197	0.864324668106295
D_0_3_29	0.0985206146722006	0.0867303086983496	0	0.0959486375207383	0.71240489716408	0.00639554194463146	0	0	9999	0.586096948252913	0.839845894543187
D_0_3_10	0.118631245705446	0.103880388847593	0	0.118760942319681	0.656432689422759	0	0	0.00229473370452165	9999	0.485131594196672	0.881678276191655
D_0_3_80	0.100805133591397	0.165561247950033	0.00307369757754613	0.10665032741101	0.623909593470014	0	0	0	9999	0.5221471832091	0.872511717616728
D_0_3_33	0.0905526062772773	0.0912179820998204	0	0.115868384940348	0.695671330676456	0	0	0.00668969600609807	9999	0.565263557215867	0.852038417365948
D_0_3_171	0.0879598194177137	0.141172700834947	0.00359724677686944	0.118383019833251	0.648887213137219	0	0	0	9999	0.520052247037191	0.874549031071103
D_0_3_97	0.0836664479787427	0.111051826470801	0	0.108565455161886	0.696399068149501	0	0	0.000317202239069065	9999	0.577043313835183	0.849269537892311
D_0_3_96	0.106902643981973	0.160422080118087	0	0.0906451524982409	0.633963431535728	0	0	0.00806669186597067	9999	0.499277113760228	0.880118364344672
D_0_3_15	0.0822641877971338	0.102651394844897	0	0.0987462895520829	0.707591609127027	0	0	0.00874651867885854	9999	0.562087444427235	0.855310896076378
D_0_3_55	0.0706236609521766	0.127769705374483	0.0210807734944809	0.103743470894534	0.673653671627341	0	0	0.00312871765698439	9999	0.55773851974414	0.862956723449038
D_0_3_153	0.0800078363438271	0.107534737902961	0.00138340566640292	0.0960136735222174	0.703467073952608	0	0	0.0115932726119836	9999	0.59899559642531	0.841213494253654
D_0_3_45	0.0857592055620003	0.133807748809445	0	0.109886383552354	0.661148927202924	0	0	0.00939773487327685	9999	0.575679750191903	0.852628588969207
D_0_3_51	0.0998440814895918	0.0999912203418072	0.0111770822863345	0.0854918880917414	0.703495727790525	0	0	0	9999	0.540081029261151	0.860829400640532
D_0_3_71	0.0855509104105582	0.114106226312588	0	0.117655009788045	0.671241378155117	0	0	0.0114464753336908	9999	0.525628600176178	0.871477271152202
D_0_3_72	0.100593277139918	0.119891088995514	0.00118813744788876	0.102093856275319	0.656122933655607	0.0201107064857538	0	0	9999	0.526869888143445	0.868172533795579
D_0_3_25	0.11041047889978	0.124660726342104	0	0.133981194106017	0.630287124182892	0	0	0.000660476469207357	9999	0.491830988670943	0.881123718502278
D_0_3_84	0.0890775535040971	0.108966959455668	0.00680735528185344	0.133043046372816	0.651878948592111	0	0	0.010226136793455	9999	0.539307778376743	0.865924996157171
D_0_3_32	0.0889082339235912	0.133012539339426	0	0.120406030270169	0.648165510900726	0	0	0.00950768556608768	9999	0.465678888275505	0.895373800665463
D_0_3_116	0.104278911895368	0.128078912743776	0.0032934553568497	0.0887292574440962	0.665424925648853	0.010194536911057	0	0	9999	0.522519220883065	0.869251588485574
D_0_3_75	0.100533578958729	0.18469445644987	0.000841447094554541	0.112075793370915	0.59767154227305	0	0	0.00418318185288186	9999	0.476969034631432	0.891338418886106
D_0_3_74	0.0647536247035763	0.0945239052659659	0	0.112335263187424	0.724595561256505	0	0	0.00379164558652859	9999	0.571723931347013	0.853392642168017
D_0_3_104	0.0836452791839599	0.112392072805365	0.00661982639754112	0.0993473249778145	0.682231753529809	0	0	0.0157637431055112	9999	0.530068744217889	0.870108884795478
D_0_3_89	0.0780081264931096	0.107229457299624	0.00570783923140319	0.113464571564382	0.684185927314805	0	0	0.0114040780966757	9999	0.587773866791982	0.847656730905792
