GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	1	0.941314451026482	1	0.656257635646207	0.106671440608207	1	1
A1BG.AS1	1	1	1	1	0.00620023355685348	1	1
A1CF	1	1	1	1	0.621165050811418	1	1
A2M	1	1	1	1	0.408826535211022	1	1
A2M.AS1	1	0.995211655848028	1	1	0.402699744111074	1	1
A2ML1	1	0.885981739780044	1	0.776335629672609	0.986631888160582	1	1
A2MP1	1	1	1	0.806303417727387	0.18356869995974	1	1
A4GALT	1	1	1	1	0.18160281696545	1	1
A4GNT	1	1	1	1	0.631910983757956	1	1
AA06	1	1	1	0.968770551788769	0.0670030007884259	1	1
AAAS	1	1	1	1	0.0078810138250972	1	1
AACS	1	2.60128646374244e-06	1	0.000232845932137721	1.0665770656267e-30	1	1
AACSP1	1	1	1	0.788592674584698	1	1	1
AADAC	1	1	1	1	1	1	1
AADACL2	1	0.650650077020303	1	0.657053613904235	5.01170603863739e-10	1	1
AADACP1	1	0.855341074688007	1	1	0.197539362973521	1	1
AADAT	1	1	1	0.99280729785944	0.0746934354842384	1	1
AAED1	1	0.780029363462187	1	1	0.274251265892134	1	1
AAGAB	1	1	1	0.769809108642082	0.0101169670904741	1	1
AAK1	1	1	1	1	0.105779675750913	1	1
AAMDC	1	0.374352002965868	1	1	0.557698819921495	1	1
AAMP	1	0.542581497873707	1	1	0.0392786516281291	1	1
AANAT	1	0.941804786465231	1	1	0.943909159421316	1	1
AAR2	1	0.701350638397116	1	1	0.000202709871057935	1	1
AARS	1	1	1	0.901193902224494	0.16408017447087	1	1
AARS2	1	0.930929083760437	1	0.650772846227002	1.85880798614348e-05	1	0.897529995463864
AASDH	1	1	1	1	0.0629179700780005	1	1
AASDHPPT	1	1	1	1	0.163335960200298	1	1
AASS	1	1	1	0.805137535788271	1	1	1
AATF	1	0.148208913828472	1	0.745715416094875	0.00767963703115858	1	1
AATK	1	1	1	1	0.0762383644707383	1	1
AB488780	0.0114617339924774	1.69469519727032e-15	1	4.42492194552387e-08	5.91492884173715e-43	0.968491595051044	1
ABAT	1	1	1	1	0.127426265920701	1	1
ABCA1	1	0.531969744904857	1	1	0.0449520841108986	1	1
ABCA11P	1	0.00298893309254426	1	1	7.90905865779813e-12	1	1
ABCA12	1	0.356414430080133	1	0.827082778935185	0.0924607539215495	1	1
ABCA13	1	1	1	1	0.321152909678108	1	0.969755202663995
ABCA17P	1	0.961333019704498	1	0.943689387553503	0.0877778945700129	1	1
ABCA2	1	1	1	1	0.0302888493439054	1	1
ABCA3	1	1	1	1	0.581724974020869	1	1
ABCA4	1	1	1	1	1	1	1
ABCA5	1	1	1	1	0.00112929605353216	1	1
ABCA6	1	0.495526336104795	1	1	0.00466269763876528	1	1
ABCA7	1	0.926222707522754	1	0.768787523331388	0.0628502909440428	1	1
ABCA8	1	1	1	1	0.441367973905114	1	1
ABCA9	1	1	1	1	0.236870889633831	1	1
ABCB1	1	0.937284875660613	1	1	0.0525416338759583	1	1
ABCB10	1	1	1	0.732623749323999	0.705978303391994	1	1
ABCB11	1	1	1	1	0.647480609209341	1	1
ABCB4	1	1	1	1	0.127190820584109	1	1
ABCB5	1	0.409773659117352	1	1	1	1	1
ABCB6	1	1	1	1	0.237547435425905	1	1
ABCB7	1	1	1	1	0.179018662545636	1	1
ABCB8	1	0.899665113412596	1	1	0.0547612939044467	1	1
ABCB9	1	0.078013952533927	1	0.0787104573024085	3.39351653541715e-13	1	1
ABCC1	1	1	1	0.756647371190062	0.029199445320563	1	1
ABCC10	1	0.9948029723446	1	1	0.000260243388709379	1	1
ABCC11	1	0.990469010667055	1	1	0.453106964892745	1	1
ABCC12	1	1	1	1	0.190261827862089	1	1
ABCC13	1	1	1	1	0.297168767437605	1	1
ABCC2	1	1	1	1	1	1	1
ABCC3	1	1	1	1	4.69355445978837e-07	1	1
ABCC4	1	1	1	0.849349218419807	0.0160654958694841	1	1
ABCC5	1	0.752521382857101	1	1	0.000131306226088611	1	1
ABCC6P1	1	1	1	1	0.45599889064263	1	1
ABCC8	1	1	1	1	0.151322449592847	1	1
ABCC9	1	0.768183155048394	1	0.70613542322365	0.106290523695334	1	1
ABCD1	1	1	1	1	0.560728432824714	1	1
ABCD2	1	0.41165808465968	1	1	1	1	1
ABCD3	1	1	1	1	0.0824674593955735	1	1
ABCD4	1	1	1	0.79354841446395	0.623741837026553	1	1
ABCE1	1	1	1	1	0.607096621723486	1	1
ABCF1	1	0.050902229826156	1	1	2.58605802482873e-11	1	1
ABCF2	1	1	1	1	1.64976685482046e-08	1	1
ABCF3	1	1	1	1	0.0139477188447193	1	1
ABCG1	1	1	1	1	0.0403464921162746	1	1
ABCG2	1	1	1	1	0.188769970696691	1	1
ABCG4	1	0.809050930691925	1	1	0.125015320225988	1	1
ABCG5	1	1	1	1	0.165865107124693	1	1
ABCG8	1	0.758460486176086	1	1	1	1	1
ABHD1	1	1	1	1	0.25978728909748	1	1
ABHD10	1	0.696086210364569	1	1	0.000260124646423776	1	1
ABHD11	1	0.703289301778413	1	1	0.0700568198222377	1	1
ABHD12	1	0.0404220446447435	1	0.964663886723975	0.000636643166832978	1	1
ABHD13	1	1	1	1	0.0671428670346748	1	1
ABHD14B	1	1	1	1	0.490265132679831	1	1
ABHD15	1	1	1	1	0.293825209791949	1	1
ABHD16A	1	1	1	1	0.0286512359761852	1	1
ABHD16B	1	1	1	1	0.479930714441056	1	1
ABHD17A	1	0.580572183794655	1	1	2.82421220028028e-05	1	1
ABHD17B	1	1	1	1	0.01354524053078	1	1
