"Mixture"	"Neutrophils"	"Fibroblasts"	"Melanoma"	"Macrophage"	"Keratinocytes"	"T_cell"	"Endothelial"
"GSM198875"	"0.103004475726393"	"0.203563321679036"	"0"	"0.0841242627220545"	"0.573763653693266"	"0.00691078108907955"	"0.0296020978167233"
"GSM198876"	"0.0762742460133388"	"0.0995796538199479"	"0"	"0.0922947191346486"	"0.718142095294832"	"0.000706109077785223"	"0.0137092857372325"
"D_0_3_26"	"0.091295193000647"	"0.0976486011219837"	"0"	"0.142094672949152"	"0.668961532928217"	"0.00148902132366997"	"0"
"D_0_3_82"	"0.087375492652233"	"0.105678071135248"	"0.00934362467046011"	"0.109945223514111"	"0.670415313292726"	"0.00181509255136049"	"0.0172422747352222"
"D_0_3_191"	"0.114033037087387"	"0.179350855067266"	"0"	"0.134776112598477"	"0.567058130555596"	"0.000330409581768214"	"0.00478186469127476"
"D_0_3_28"	"0.0830625536237784"	"0.16099876190536"	"0.0021542014443415"	"0.109436705140674"	"0.641628922275664"	"0.00114215571117096"	"0.00271885561018146"
"D_0_3_43"	"0.0947188586157966"	"0.136271585394016"	"0"	"0.0909722454960136"	"0.678037310494174"	"0.000157193420050424"	"0"
"D_0_3_157"	"0.0960241155574399"	"0.142423754313668"	"0"	"0.0975626710981766"	"0.629942078674148"	"0.0251489343638355"	"0.010963853236224"
"D_0_3_136"	"0.0933014423694122"	"0.111927059509083"	"0"	"0.11563090538531"	"0.671160267674897"	"0.0004405468764913"	"0.00798032506129865"
"D_0_3_102"	"0.102894749287531"	"0.123953863184639"	"0"	"0.106231737051168"	"0.659544929230437"	"3.95327959410511e-06"	"0.0073747212462248"
"D_0_3_150"	"0.0909496444144814"	"0.0959663246996336"	"0"	"0.113862770889929"	"0.699221259995956"	"0.000537116047465204"	"0"
"D_0_3_62"	"0.0823496600578059"	"0.148953213438499"	"0.00261539915963396"	"0.091132310363949"	"0.674949416980112"	"1.26045309065822e-05"	"0"
"D_0_3_34"	"0.11859974036395"	"0.0991072889830387"	"0.015077969239944"	"0.112889984173602"	"0.648360617013453"	"0.000176254372177401"	"0.00596440022601118"
"D_0_3_161"	"0.0991953602487394"	"0.114771703331708"	"0"	"0.120822124243988"	"0.650322155110734"	"0.00158368026637119"	"0.0148886570648302"
"D_0_3_165"	"0.0853951958798635"	"0.10781494063962"	"0"	"0.124666999879674"	"0.682122863600842"	"0.000467791789447757"	"0"
"D_0_3_140"	"0.100539864774991"	"0.153887685676745"	"0"	"0.119819565556644"	"0.60208593955174"	"0.00119461174518081"	"0.0236669444398801"
"D_0_3_91"	"0.0979474854746317"	"0.136038811547935"	"0"	"0.105249605557028"	"0.660764097420406"	"0.000774581932133212"	"0"
"D_0_3_155"	"0.071338491176849"	"0.100315564784929"	"0.0163211490116245"	"0.0784264635574965"	"0.722401113440253"	"8.71044537352376e-05"	"0.0111972180288481"
"D_0_3_119"	"0.0851654013874063"	"0.105042116531119"	"0.00657782259437511"	"0.0806803884511064"	"0.711397359503283"	"0.000469110765083208"	"0.0111369115327101"
"D_0_3_163"	"0.100987922390273"	"0.174268525929326"	"0"	"0.126680706089357"	"0.588960872104808"	"0.00176819533947978"	"0.00855375711456419"
"D_0_3_180"	"0.0988776261645963"	"0.146128089268702"	"0.00128399516723359"	"0.102738136633183"	"0.623815838638144"	"0.00510271153578447"	"0.0223196354293109"
"D_0_3_123"	"0.100681402640262"	"0.165071541872089"	"0"	"0.100669578353813"	"0.62640048940373"	"0.000320720407905195"	"0.00717698773010564"
"D_0_3_37"	"0.102309302593651"	"0.145058921385799"	"0"	"0.094315103278951"	"0.655496123604181"	"0.000747053715102164"	"0.00282054913741885"
"D_0_3_46"	"0.0964326108020693"	"0.18566651424793"	"0"	"0.125396081826227"	"0.58694494575763"	"0.000217981211802357"	"0.00555984736614402"
"D_0_3_108"	"0.0881033618172733"	"0.101977012711728"	"0"	"0.0981174363555446"	"0.711802189115454"	"0.000513716908811104"	"0"
"D_0_3_169"	"0.0750795831532797"	"0.122170817696719"	"0.00203301246638424"	"0.11135010268392"	"0.688654554135361"	"0.00131374298594796"	"0"
"D_0_3_113"	"0.104128761421753"	"0.1032692460261"	"0"	"0.106015097745539"	"0.684796235707661"	"0.00154982186331112"	"0.00179065909894768"
"D_0_3_47"	"0.102637706453257"	"0.138695030443759"	"0"	"0.0832345395264531"	"0.671438275221272"	"0.00170962282511647"	"0.00399444835525899"
"D_0_3_29"	"0.0985206146722006"	"0.0867303086983496"	"0"	"0.0959486375207383"	"0.71240489716408"	"0.00716569074726156"	"0"
"D_0_3_10"	"0.118631245705446"	"0.103880388847593"	"0"	"0.118760942319681"	"0.656432689422759"	"0.000716873043602934"	"0.00229473370452165"
"D_0_3_80"	"0.100805133591397"	"0.165561247950033"	"0.00307369757754613"	"0.10665032741101"	"0.623909593470014"	"0.000111756428716729"	"0"
"D_0_3_33"	"0.0905526062772773"	"0.0912179820998204"	"0"	"0.115868384940348"	"0.695671330676456"	"0.0017739101138706"	"0.00668969600609807"
"D_0_3_171"	"0.0879598194177137"	"0.141172700834947"	"0.00359724677686944"	"0.118383019833251"	"0.648887213137219"	"0.000387577753587831"	"0"
"D_0_3_97"	"0.0836664479787427"	"0.111051826470801"	"0"	"0.108565455161886"	"0.696399068149501"	"0.00101403373518053"	"0.000317202239069065"
