GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	0	120.689731593464	0	334.953275567465	79.8726973637669	0	101.444508672608
A1BG.AS1	0	44.8472343179889	35.5406145974315	16.1464623193707	18.9673873613375	0	0
A1CF	131.658568303289	10.842221608467	0	153.087863347936	13.0230607982213	5375.1272921482	4.14525691398064
A2M	7847.60261865884	0	6866.35228199693	0	4937.02467896953	0	30807.5032208018
A2M.AS1	472.547654436307	376.993481483032	1045.64503247406	74.2452819036942	59.9300333130989	1784.4204754081	0
A2ML1	0	0	0	2551.79123244683	1718.3245982957	0	5722.89047625043
A2MP1	1.18586977378159	17.6250109817916	0	44.1902832103686	5.66109571679126	0	0
A4GALT	22.8084966727108	272.4922106371	0	177.222417679252	108.171136684805	0	0
A4GNT	0	0	0	449.860192264288	7.75202173532513	0	0
AA06	0	227.266996803056	0	403.693511630675	22.4756768872436	0	0
AAAS	0	433.662628630748	1193.38798707475	1112.48417291162	326.057480429867	2059.8586271001	3587.18858565963
AACS	1	1958.0746596418	1	2384.51189695238	2056.9824988072	1	1
AACSP1	0	0	341.265140604379	11.8723997661515	40.5181264223694	269.388285350092	0
AADAC	307.725922329777	136.539767430612	0	1056.42005764617	175.637262437265	2648.71382120417	3128.64301367315
AADACL2	1	1	1	1	1143.18462611198	1	1
AADACP1	14.1468077492295	0	28.0324366071085	2.06579259921652	2.04192452209372	0	0
AADAT	362.347595843172	43.4578318021774	746.717997622414	164.431675802023	44.2096660481068	1471.8883028732	1.76452277431313
AAED1	0	0	0	2457.29309514319	1258.04052798108	0	8357.224832631
AAGAB	0	0	0	3753.61907474118	1096.85599957568	12608.8315021179	2046.61415479315
AAK1	1844.77874404655	344.201263636055	7205.13695970041	3264.29194838523	1470.33375449157	0	0
AAMDC	0	1117.33409994881	0	825.365339144825	537.392136766623	4872.66687146213	0
AAMP	1983.21565384291	1515.78412627931	0	0	1657.36110234142	0	0
AANAT	28.2109479424051	16.2211564989052	31.8185492309629	25.2378947443978	0	99.9105282536757	47.420141051308
AAR2	0	1648.70558922909	0	0	1533.95204434347	0	1168.15056717785
AARS	0	1011.16066289651	10819.4254716517	7415.38617245319	2374.47992502463	42208.7002864298	7192.18858633098
AARS2	1	760.642325293973	1	1	424.334278316624	1	1
AASDH	110.232014454999	452.459800077157	0	645.879734861015	484.287469318293	918.886287195357	0
AASDHPPT	0	0	16114.0956692828	1441.17430624631	2524.61098909826	0	2624.80620920856
AASS	949.480178635666	137.780675104381	0	0	0	0	0
AATF	0	1626.42610753871	0	5028.73352338811	1582.86134177942	18624.6078368675	3938.01622807434
AATK	2006.69441989335	172.790944702183	4518.37297673467	0	367.776803710395	417.931341331201	0
AB488780	274.400640557989	349.05747259246	1	337.796304330544	299.813686676989	1	1
ABAT	0	0	3369.1626564597	0	392.43963357076	4574.07887769328	2192.68241501774
ABCA1	3098.50404480931	2517.19680537512	11001.7386486227	5222.56004982989	841.370192383804	0	0
ABCA11P	1	247.715347969242	1	1	211.107307379202	1	1
ABCA12	1321.84311346523	2337.61845257956	0	594.213353945298	549.253958965553	0	0
ABCA13	34.2386214192574	83.6191541695755	0	0	14.2637139954587	130.213206203035	222.237187915069
ABCA17P	0	0	568.115644093398	64.2958625943898	84.9457930838196	0	0
ABCA2	94.9366566542027	98.3179299066142	1156.23943585614	0	354.638351607541	5495.17615921913	0
ABCA3	0	457.714672679436	620.902199670091	199.250088397886	0.763009911491861	0	2145.48380074831
ABCA4	0	75.6238903298516	0	0	25.2128381346385	3895.55883004283	0
ABCA5	0	0	0	2541.01300989551	598.593516691285	728.608827742057	0
ABCA6	771.796156840861	104.819134132599	640.022195355902	163.340241605143	146.352757780622	506.911802825272	0
ABCA7	0	374.356860471891	0	1179.84460348178	145.304711475087	0	944.017757251533
ABCA8	13.9682522504072	2768.84041255209	1019.89243990871	576.019968890814	198.33762292857	7455.12759851359	0
ABCA9	0	2.68735552494244	1004.38434341016	776.732647035005	100.570646985368	0	1078.2415352867
ABCB1	52.6081916155192	95.2045633212851	0	74.1326340654292	64.5923128065044	0	144.493781293118
ABCB10	5100.67193306612	0	0	944.734651317519	483.766561792392	0	0
ABCB11	95.715950935247	0	0	16.658329188814	9.88801802643082	0	0.830270033233034
ABCB4	538.014818181193	173.911824392507	0	53.4195367713693	24.7211211808466	2118.36616014883	329.831988513583
ABCB5	0	90.621254191261	0	124.397170572557	0	0	0
ABCB6	658.430684761123	1085.70018808727	5.58474390461171	0	496.294151790876	5152.32433285643	0
ABCB7	3252.22248304112	0	0	588.454315625924	311.294806674692	0	259.90437681451
ABCB8	677.91356603839	160.526387400857	791.710444850824	0	204.879061102061	0	43.6222973855518
ABCB9	1	185.124251897768	1	242.663701661029	149.31625226394	1	1
ABCC1	1711.37077948844	0	2975.74357989036	3236.53118206854	1620.59105153738	0	3990.68751022791
ABCC10	324.448181616557	1561.38161392758	0	1240.78360492005	775.221086973627	0	321.159680058627
ABCC11	64.831748584309	0	140.173601093103	463.668865375121	0	0	377.577451986884
ABCC12	0	0	0	14.0967378084346	31.9821068335217	0	0
ABCC13	27.4498171206818	0	0	0	32.8661623752627	0	177.288864594838
ABCC2	484.118557840513	0	0	0	0	0	0
ABCC3	0	163.631642204561	3474.87865740493	713.865477348589	662.223566527778	13.6941077171376	1049.08836038725
ABCC4	0	255.75068565409	618.465824730438	1267.75588893358	349.535352342898	1151.52963302886	0
ABCC5	1	1	1	1	904.36488294838	1	1
ABCC6P1	0	0	0	60.1338905764502	33.2091835528493	443.768774038163	0
ABCC8	0	32.6081537104352	187.516539851039	0	15.9018345588672	0	76.8586484118573
ABCC9	220.339416183574	34.2820539989797	592.649331188717	146.118616290359	70.8034617719385	0	292.397636058511
ABCD1	0	256.262583669334	1373.44725763601	300.844495431959	259.024563816702	0	553.710690384788
ABCD2	0	79.6090860076014	0	0	0	0	55.6349051324154
ABCD3	1064.6303915464	0	0	10976.4995577601	1159.16553150474	16002.6580650859	0
ABCD4	0	627.71658685	0	1720.32832100111	283.390478929224	0	3301.16037708629
ABCE1	6251.73677195433	0	0	0	1500.05196725239	26432.9369474584	16022.9972200977
ABCF1	1	2913.90113513503	1	1	2383.46538286347	1	1
ABCF2	1	1	1	1	1966.08575898534	1	1
ABCF3	1335.39551723385	330.977625900811	0	619.991873798705	377.646007661405	3510.28174384895	179.72563279814
ABCG1	3133.52043917723	0	1158.41705362769	5.14922604741918	782.330872965345	0	386.949865694951
ABCG2	0	87.8228221871424	0	0	109.338779033007	0	0
ABCG4	0	0	1867.95480816691	287.314191926046	275.681426218651	1092.93081007511	783.372393625858
ABCG5	0	6.12204480637265	32.914515321975	23.0474579882677	2.75142007657873	0	0
ABCG8	187.279529394632	21.2135336908476	79.0547916319119	0	18.0064656712433	1697.51293036968	0
ABHD1	0	0	0	217.138052887808	88.03097945361	263.2742131353	0
ABHD10	0	0	0	2265.9544227589	758.14933890471	1163.7819736219	3543.21769579036
ABHD11	0	298.475722095909	2166.12572676792	1020.78869875546	508.778906648182	0	0
ABHD12	810.727333028132	1282.90248168883	0	1004.95599411164	1099.37511002209	1845.97575948965	2141.50840644751
ABHD13	0	0	343.369537426956	174.963592187799	205.325708870055	7976.45924737064	0
ABHD14B	3063.72522267628	0	15055.9759335968	0	1260.79757065403	38222.0964863524	0
ABHD15	0	892.581654537042	137.245690759426	0	243.293859305496	0	2316.44707813389
ABHD16A	743.702862686578	0	1443.25084759337	1317.14939431579	1095.28867858498	0	367.302781274776
ABHD16B	4.27884445080937	0	0	0	12.4697449182839	0	37.218071961786
ABHD17A	4592.01249146975	601.552143419165	19039.7005401916	3583.22291351202	4782.67099865993	74046.774678298	9440.26005378416
ABHD17B	0	1056.39336691333	0	61.3747046551649	1375.38624861873	0	490.3507851983
ABHD17C	1	1	1	1	1250.27945143836	1	1
ABHD2	2627.77046397055	1775.02665819404	0	0	1001.5650220007	3339.85519180101	2918.80850017031
ABHD3	258.483815899628	855.678872952218	0	2144.04998066262	635.612077605823	0	1103.247136804
ABHD4	0	1375.07524356899	6005.12363724452	230.037210162238	784.078687989015	0	0
ABHD5	1	1	1	1	998.318631846427	1	1
ABHD6	1	1	1	1	863.416774261404	1	1
ABHD8	725.263485130807	0	409.929283617448	0	108.646827813464	7765.04291420708	0
ABI1	1	1	1	1	2499.36618377824	1	1
ABI2	6.98320043317693	1186.85343592459	7117.53460763724	2940.42361231034	265.12194463407	11522.4523266078	2632.0601683234
ABI3	1	1	1	1	297.111944417976	1	1
ABI3BP	4670.84830854148	3793.19696137644	193.877391989308	3266.39214356903	2392.64045828069	3056.12450268838	5824.75360567199
ABL1	1516.81890927295	3257.66953737723	0	4.45299440039841	1896.3726377815	0	643.584067626307
ABL2	1	1	1	1	1262.58988326417	1	1
ABLIM1	1	1	1	1	7207.34070161682	1	1
ABLIM2	1	1	1	1	288.364154105838	1	1
ABLIM3	0	216.681391386179	0	0	298.580401365777	3135.06336349546	0
ABO	0	213.94732375589	1968.3125208407	860.403528923628	29.4220224360617	0	1132.90447991866
ABR	8040.42672811967	5021.79223902311	0	2056.33581000964	1062.18234231145	0	8473.62785147556
ABRA	0	0	0	0	33.709034012332	3294.53094394765	0
ABRACL	1	1	1	1	2540.12853287994	1	1
ABT1	0	114.759317960661	1727.18993261436	3047.95371321324	747.710448285873	0	2721.28995960963
ABTB1	2942.7724276627	0	0	864.551481044212	708.803552756255	0	6396.07945319644
ABTB2	0	526.435392265925	0	0	277.074231212677	0	1527.40777083879
AC000111.3	78.233321169886	0	0	0	1.39398189613986	0	324.597898742383
AC002059.10	0	29.0896646801808	0	90.3472624361904	140.941624808412	443.463412507521	1534.26293076262
AC002064.5	307.544573551446	0	0	0	0	0	314.973860200353
AC003973.4	214.447930437894	48.4276823784175	528.864384847897	0	0	1924.93053059787	211.869533668244
AC003989.4	0	0	50.5484768156168	551.310244368004	1.60542777392501	0	0
AC004692.5	1176.69066156161	287.410683835945	4780.79959965689	1575.9437371352	589.058142916691	12368.6464698569	0
AC004941.5	0	0	1283.31079552798	610.672860261884	288.777075866165	0	0
AC005162.4	70.5413667320757	52.4648934461031	45.447859216348	6.56128043623829	12.824866163508	0	146.978728929333
