GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	1	0.339711059073404	1	0.068174995753495	0.00936423516295726	1	0.829817434178094
A1BG.AS1	1	0.0653720983958169	0.686641865039105	0.640359498851018	0.00141366803795523	1	1
A1CF	0.781196668143655	0.963011447314811	1	0.649255347181077	0.814534218543174	0.0196987066345526	0.99622429798966
A2M	0.653204346218705	1	0.827917244668565	1	0.0182364707032599	1	0.341382512156974
A2M.AS1	0.513499542522928	0.29207096260651	0.424725043811159	0.884807213319651	0.479416871166038	0.603770263842338	1
A2ML1	1	1	1	0.64395696457723	0.0627466506072561	1	0.690592470613601
A2MP1	0.970899077457739	0.274131120172388	1	0.0590691359370587	0.14056285466185	1	1
A4GALT	0.95937029146525	0.22017797211231	1	0.577526820634739	0.0425272191634253	1	1
A4GNT	1	1	1	0.0304913040276074	0.817909495544617	1	1
AA06	1	0.217884841833894	1	0.129364824085531	0.605922055318778	1	1
AAAS	1	0.445242786920426	0.566429874637034	0.175619371803142	0.0178666341201695	0.70637138187164	0.0948798188221237
AACS	0.0254210255822032	4.86425066506037e-08	0.316385378970818	1.90559121633359e-06	1.98029559493186e-36	0.931741627364646	1
AACSP1	1	1	0.338797902599445	0.932132796071122	0.0819315947454958	0.773183300243427	1
AADAC	0.876432350911857	0.888787485872797	1	0.452987009026521	0.449652611433872	0.778497887954772	0.39380559512126
AADACL2	0.100032118712335	0.176659268699764	1	0.220392554942981	1.64447348105384e-08	1	0.881700469709229
AADACP1	0.187562853258925	1	0.149596439038957	0.784879662059482	0.10564939320437	1	1
AADAT	0.0690218382946144	0.654422728277264	0.0391587441378094	0.241297764044934	0.0585114447561247	0.119190318961671	0.996126476951677
AAED1	1	1	1	0.359077270288822	0.00566379485242541	1	0.23219954909003
AAGAB	1	1	1	0.0388369691154288	0.000407515735426039	0.294234842051013	0.6601297209225
AAK1	0.786421572379939	0.918364896381201	0.55911877976732	0.50001281620525	0.0688277759708923	1	1
AAMDC	1	0.150364838528559	1	0.457416741830074	0.00447563369011295	0.512553493022724	1
AAMP	0.671087456360497	0.511076357565693	1	1	0.00342100899219864	1	1
AANAT	0.366399087535764	0.293076113106952	0.572702147167705	0.255842123710871	1	0.500681698891594	0.411210820942598
AAR2	1	0.220644396166628	1	1	8.69381415396057e-06	1	0.815776142100839
AARS	1	0.829844689435809	0.531296330267228	0.275514275861352	0.036750231185954	0.353771308615815	0.68344857913379
AARS2	0.416048509439299	0.0134491079597554	1	0.660585953062625	1.20779054319298e-07	1	0.299339236879524
AASDH	0.925037794973083	0.434891656696808	1	0.438417487476119	0.000757192710759546	0.869054951416894	1
AASDHPPT	1	1	0.215074612812892	0.776117664515801	0.00354496324111528	1	0.842345545404217
AASS	0.212769942889101	0.712441728612307	1	1	1	1	1
AATF	1	0.265582167952124	1	0.018716119893064	2.09686766325481e-05	0.18700036984667	0.470575007543457
AATK	0.0680540364552222	0.74695378668444	0.0241968320436534	1	0.00507467199411573	0.935464117161459	1
AB488780	2.61244203639506e-06	7.00733926830098e-20	0.000296673243564979	8.21876576194373e-13	6.82717924906632e-51	0.402095145459004	0.0027622506464641
ABAT	1	1	0.144285835469903	1	0.00990533273558	0.447952278594852	0.349807158178556
ABCA1	0.508596277183267	0.277858841391669	0.196886088739361	0.119446569151012	0.128326274414576	1	1
ABCA11P	0.537998130151129	0.000300444309763891	1	0.0623985925206585	1.70630113068179e-20	0.110743636259835	1
ABCA12	0.631681494629387	0.0891954462188016	1	0.761298692386592	0.0924597298295481	1	1
ABCA13	0.784250127533089	0.178405102154338	1	1	0.331886642991862	0.826728715403882	0.338054368059237
ABCA17P	1	1	0.110006515669508	0.641515762192127	0.000396761703642763	1	1
ABCA2	0.942291670158008	0.879238453648147	0.626458673099102	1	0.0237644474158301	0.379913360044551	1
ABCA3	1	0.26249993705928	0.677240882757977	0.733370884718811	0.993690305964239	1	0.16217222312552
ABCA4	1	0.648698126275645	1	1	0.522658915367642	0.0173051707013809	1
ABCA5	1	1	1	0.067158336084207	0.00993960718235089	0.936721693729222	1
ABCA6	0.0334778696491004	0.551612123059207	0.322875263787593	0.519093269214085	0.000813597640600692	0.764995669052449	1
ABCA7	1	0.356547192494788	1	0.0461257414900552	0.13392551738108	1	0.53415271865629
ABCA8	0.997705579783053	0.250502344914156	0.907640270609459	0.867325155185311	0.727525315352769	0.7470842233581	1
ABCA9	1	0.992882852442303	0.364988935423946	0.076812202118519	0.163004711209975	1	0.341245437089303
ABCB1	0.762454201759937	0.269772037748942	1	0.548877007595392	0.00228428728993344	1	0.653516188339911
ABCB10	0.197365037971432	1	1	0.734970034342691	0.295466375200209	1	1
ABCB11	0.312466924722189	1	1	0.803639223368411	0.372586022807599	1	0.996202718926636
ABCB4	0.178793578650107	0.376407969343058	1	0.849746437775922	0.59562976427047	0.264705245948575	0.653583069671153
ABCB5	1	0.419745751329917	1	0.44123194135516	1	1	1
ABCB6	0.785529480716363	0.364577707420982	0.998982068403615	1	0.0835631681349668	0.654598131554447	1
ABCB7	0.0570532866787008	1	1	0.622833656299061	0.118166564486394	1	0.933466605440612
ABCB8	0.297077354295213	0.615567021715252	0.499905646429077	1	0.00861539383559583	1	0.970918618151566
ABCB9	0.736757356845813	0.000467551839321825	0.300934592944707	0.00131069462489688	1.11812208879981e-18	0.434365501630664	0.0694289747921217
ABCC1	0.612076434166206	1	0.626055864675341	0.179356468192505	0.000114029853483712	1	0.522640632016314
ABCC10	0.869649882369701	0.113074379463249	1	0.378039955284328	0.00133232888189696	1	0.929973982552222
ABCC11	0.861017628233622	1	0.834321653430157	0.0813898279236883	1	1	0.581659238413705
ABCC12	1	1	1	0.910912906824072	0.127566464351507	1	1
ABCC13	0.825110540106442	1	1	1	0.0267999516318908	1	0.441101806470082
ABCC2	0.691143302696282	1	1	1	1	1	1
ABCC3	1	0.772986415771026	0.0984862348186357	0.382977271288294	6.24952864773986e-06	0.998001561148842	0.621806677938235
ABCC4	1	0.525305866197644	0.675095644894127	0.0314544812848205	0.000494396633205087	0.766468310244738	1
ABCC5	0.92473785039702	0.254159531720104	0.399838839863909	0.56937070397718	7.34336038284038e-11	1	0.252469835595646
ABCC6P1	1	1	1	0.478825870939642	0.0201853048248077	0.435739477085305	1
ABCC8	1	0.306588945996241	0.111112554417045	1	0.0382245430046386	1	0.519041239659066
ABCC9	0.318871787963117	0.752401557034982	0.140379894077767	0.351444228092051	0.00765950936901442	1	0.47341486415791
ABCD1	1	0.568229614422666	0.405068861258249	0.64128184153441	0.0174417368896166	1	0.741867908940677
ABCD2	1	0.00957567341926214	1	1	1	1	0.619749171803774
ABCD3	0.906860733903969	1	1	0.0929184351643281	0.279056642700181	0.711759401237246	1
ABCD4	1	0.484591597538687	1	0.185268793020111	0.186059032401412	1	0.32750537399173
ABCE1	0.317592113891326	1	1	1	0.0432195539933471	0.373995394508577	0.167432582967788
ABCF1	0.43433167280231	0.00269368614397461	0.0464783982584845	0.0212766002961966	7.80632311773925e-16	0.760639231087926	0.225075667564803
ABCF2	0.00619799211406885	0.24967225477092	0.786879159753452	0.983155363328179	1.98122634567348e-08	1	0.802353646554162
ABCF3	0.456948559762805	0.708172492109953	1	0.626104773405565	0.0755706880536506	0.680573029982737	0.956713464448302
ABCG1	0.128631674022273	1	0.754117102041447	0.997166499772926	0.00169237541523734	1	0.918393366295563
ABCG2	1	0.725866761963221	1	1	0.0695057413231257	1	1
ABCG4	1	1	0.148928395205949	0.568605225616957	0.00145509562245683	0.746051872123756	0.550686645352474
ABCG5	1	0.618599542560977	0.466071955249425	0.195228796089885	0.34721297616363	1	1
ABCG8	0.484048342030634	0.872121176930604	0.870092586578177	1	0.565426470966398	0.18467806183222	1
ABHD1	1	1	1	0.165303538219673	0.00101683788677072	0.800347735283256	1
ABHD10	1	1	1	0.0905728970369604	0.000908160809392324	0.895620162066299	0.306023553512457
ABHD11	1	0.62458630179388	0.334283108683802	0.246783870335329	0.000786743748551495	1	1
ABHD12	0.728967530063409	0.268585058761789	1	0.54548317753673	0.000155178011984474	0.868230064240018	0.620702022101276
ABHD13	1	1	0.7846707351759	0.722651797629323	0.013771224958009	0.0182314826781519	1
ABHD14B	0.714516474773358	1	0.322214114860795	1	0.201480010820502	0.338941898534492	1
ABHD15	1	0.313266936053412	0.966141859101216	1	0.247576805179872	1	0.483952016729566
ABHD16A	0.799080662831597	1	0.784897895792486	0.525902619393869	0.00207798127568094	1	0.945770129789164
ABHD16B	0.928395089438038	1	1	1	0.0283494374985598	1	0.672632824641951
ABHD17A	0.565020611679726	0.878425072632444	0.189892778688383	0.527113651172746	2.92697238576176e-06	0.0543860216344946	0.522378982254113
ABHD17B	1	0.354718306902768	1	0.970080830202279	3.2755658117674e-06	1	0.908408089269727
ABHD17C	0.710761291637562	0.303621981356366	0.0325111286059524	0.227241988306979	2.1257532088733e-08	0.523183511928365	1
ABHD2	0.158910304196867	0.0554355944535222	1	1	1.85336955398844e-05	0.704534579174743	0.394874554456904
ABHD3	0.954523485564497	0.702163465740303	1	0.505881610379705	0.233920336462738	1	0.895254514548607
ABHD4	1	0.126676780169919	0.0700703064161198	0.857712309756515	0.000433328044704711	1	1
ABHD5	0.602451558236347	0.0495187555215351	0.154387162760171	0.376151494802105	8.67676206950932e-08	1	0.897988391049762
ABHD6	0.759950287859887	0.113315102355547	0.567765503791627	1	1.51090071218427e-08	0.661570208960155	1
ABHD8	0.474943292406176	1	0.823098598236579	1	0.361487539794385	0.11078209570518	1
ABI1	0.563034070540274	0.113449451001004	0.408397355273504	0.0418758139329102	3.79838624836301e-15	1	1
ABI2	0.998094804767781	0.41205118195063	0.181838688288543	0.159950693407332	0.440070557392402	0.40885285493982	0.626698047108772
ABI3	0.0368007804980863	0.17043468590734	0.257313795837554	0.129313361144518	2.61573492733671e-10	1	0.19750817758267
ABI3BP	0.281424928451224	0.0785825368861934	0.980196867420685	0.288504155763529	1.23742548756473e-05	0.881685542670069	0.466326398970664
ABL1	0.647939956920891	0.050175090029506	1	0.998491756377275	7.27513596125405e-06	1	0.916463533893841
ABL2	1	0.202030749173983	0.595595116691633	0.377263809747622	6.09742243441565e-12	0.801605802380343	0.496833076403965
ABLIM1	0.432208120451896	1	0.096914783866276	0.0965064210690393	1.97879307012792e-08	0.577122122831318	0.485812877152223
ABLIM2	1	0.443155098019854	1	0.0871335624662971	4.15244557749346e-07	0.160267655249306	1
ABLIM3	1	0.582512790466443	1	1	0.00211928051790786	0.410144709405675	1
ABO	1	0.686723655985054	0.313415179157057	0.261674202780761	0.815201551051785	1	0.568945148122466
ABR	0.222134719777847	0.123577799079348	1	0.658315525487004	0.169229738283679	1	0.484646705381731
ABRA	1	1	1	1	0.435531294259402	0.0636128389757778	1
ABRACL	1	0.861349750104801	1	0.0547493763430413	6.47800849643024e-08	0.365833321985492	1
ABT1	1	0.86445289866156	0.48445014826226	0.00240529592655322	1.46882769504315e-05	1	0.282172618523681
