GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	T_cell	Endothelial
A1BG	0	NA	NA	334.953275567465	79.8726973637669	0	NA
A1BG.AS1	0	44.8472343179889	NA	NA	18.9673873613375	0	0
A1CF	NA	NA	NA	NA	NA	5375.1272921482	NA
A2M	NA	0	NA	NA	4937.02467896953	NA	NA
A2M.AS1	NA	376.993481483032	1045.64503247406	NA	NA	NA	NA
A2ML1	0	0	NA	NA	NA	0	NA
A2MP1	1.18586977378159	17.6250109817916	0	44.1902832103686	NA	0	0
A4GALT	NA	272.4922106371	NA	177.222417679252	NA	NA	NA
A4GNT	NA	0	0	449.860192264288	NA	0	0
AA06	NA	227.266996803056	NA	NA	NA	NA	0
AAAS	0	433.662628630748	NA	1112.48417291162	326.057480429867	NA	3587.18858565963
AACS	1	1958.0746596418	1	2384.51189695238	2056.9824988072	NA	NA
AACSP1	0	0	341.265140604379	NA	NA	NA	0
AADAC	NA	NA	0	NA	NA	NA	NA
AADACL2	1	1	NA	1	1143.18462611198	NA	NA
AADACP1	14.1468077492295	0	28.0324366071085	2.06579259921652	2.04192452209372	0	0
AADAT	362.347595843172	NA	746.717997622414	164.431675802023	NA	1471.8883028732	NA
AAED1	NA	NA	NA	2457.29309514319	1258.04052798108	NA	8357.224832631
AAGAB	0	NA	0	3753.61907474118	1096.85599957568	12608.8315021179	NA
AAK1	NA	NA	NA	NA	1470.33375449157	NA	NA
AAMDC	NA	1117.33409994881	NA	NA	537.392136766623	4872.66687146213	NA
AAMP	NA	NA	0	NA	1657.36110234142	NA	0
AANAT	28.2109479424051	16.2211564989052	NA	25.2378947443978	NA	NA	47.420141051308
AAR2	0	1648.70558922909	0	NA	1533.95204434347	NA	NA
AARS	0	NA	NA	7415.38617245319	2374.47992502463	NA	NA
AARS2	NA	760.642325293973	NA	NA	424.334278316624	NA	1
AASDH	NA	NA	NA	NA	484.287469318293	NA	0
AASDHPPT	0	NA	16114.0956692828	NA	2524.61098909826	NA	NA
AASS	949.480178635666	NA	NA	NA	NA	NA	NA
AATF	NA	NA	NA	5028.73352338811	1582.86134177942	18624.6078368675	NA
AATK	2006.69441989335	NA	4518.37297673467	NA	367.776803710395	NA	NA
AB488780	274.400640557989	349.05747259246	1	337.796304330544	299.813686676989	1	1
ABAT	NA	NA	NA	NA	392.43963357076	NA	2192.68241501774
ABCA1	3098.50404480931	2517.19680537512	NA	5222.56004982989	NA	NA	0
ABCA11P	NA	247.715347969242	NA	1	211.107307379202	1	NA
ABCA12	NA	2337.61845257956	NA	NA	NA	0	0
ABCA13	NA	83.6191541695755	0	0	NA	NA	NA
ABCA17P	0	NA	568.115644093398	NA	84.9457930838196	NA	0
ABCA2	NA	NA	NA	NA	354.638351607541	NA	0
ABCA3	0	457.714672679436	NA	NA	NA	0	2145.48380074831
ABCA4	NA	NA	0	NA	NA	3895.55883004283	NA
ABCA5	NA	NA	NA	2541.01300989551	598.593516691285	NA	0
ABCA6	771.796156840861	NA	640.022195355902	NA	NA	NA	NA
ABCA7	NA	374.356860471891	NA	1179.84460348178	NA	NA	NA
ABCA8	NA	NA	NA	NA	NA	NA	NA
ABCA9	NA	NA	1004.38434341016	776.732647035005	NA	NA	1078.2415352867
ABCB1	NA	95.2045633212851	NA	NA	64.5923128065044	0	NA
ABCB10	5100.67193306612	NA	NA	NA	NA	0	NA
ABCB11	95.715950935247	NA	0	NA	NA	0	NA
ABCB4	538.014818181193	NA	NA	NA	NA	2118.36616014883	NA
ABCB5	0	NA	NA	124.397170572557	NA	0	0
ABCB6	NA	NA	NA	0	496.294151790876	NA	0
ABCB7	3252.22248304112	0	NA	NA	NA	NA	NA
ABCB8	NA	NA	NA	NA	204.879061102061	NA	NA
ABCB9	NA	185.124251897768	1	242.663701661029	149.31625226394	NA	1
ABCC1	NA	NA	NA	NA	1620.59105153738	0	NA
ABCC10	NA	1561.38161392758	NA	NA	775.221086973627	NA	NA
ABCC11	NA	NA	NA	463.668865375121	NA	NA	NA
ABCC12	0	NA	0	NA	31.9821068335217	0	0
ABCC13	NA	NA	0	NA	32.8661623752627	0	NA
ABCC2	NA	0	0	NA	NA	NA	0
ABCC3	NA	NA	NA	713.865477348589	662.223566527778	NA	NA
ABCC4	NA	NA	NA	1267.75588893358	349.535352342898	NA	NA
ABCC5	NA	NA	NA	NA	904.36488294838	1	1
ABCC6P1	0	NA	0	NA	33.2091835528493	NA	0
ABCC8	0	NA	NA	NA	15.9018345588672	NA	NA
ABCC9	NA	NA	592.649331188717	NA	70.8034617719385	NA	292.397636058511
ABCD1	NA	NA	1373.44725763601	NA	259.024563816702	0	NA
ABCD2	0	79.6090860076014	0	0	0	0	55.6349051324154
ABCD3	NA	0	NA	10976.4995577601	NA	NA	0
ABCD4	NA	NA	NA	1720.32832100111	NA	0	3301.16037708629
ABCE1	NA	0	NA	NA	1500.05196725239	NA	NA
ABCF1	NA	2913.90113513503	NA	1	2383.46538286347	NA	NA
ABCF2	1	NA	NA	NA	1966.08575898534	NA	NA
ABCF3	NA	NA	NA	NA	NA	NA	NA
ABCG1	3133.52043917723	NA	NA	NA	782.330872965345	NA	NA
ABCG2	0	NA	0	NA	109.338779033007	NA	NA
ABCG4	0	NA	1867.95480816691	NA	275.681426218651	NA	NA
ABCG5	0	6.12204480637265	32.914515321975	23.0474579882677	NA	0	0
ABCG8	NA	NA	NA	0	NA	NA	NA
ABHD1	NA	NA	NA	NA	88.03097945361	NA	NA
ABHD10	0	NA	NA	2265.9544227589	758.14933890471	NA	3543.21769579036
ABHD11	NA	NA	NA	1020.78869875546	508.778906648182	0	NA
ABHD12	NA	NA	NA	NA	1099.37511002209	NA	NA
ABHD13	NA	0	NA	NA	205.325708870055	7976.45924737064	NA
ABHD14B	NA	NA	15055.9759335968	NA	NA	38222.0964863524	NA
ABHD15	NA	892.581654537042	NA	NA	NA	NA	NA
ABHD16A	NA	NA	NA	NA	1095.28867858498	NA	NA
ABHD16B	NA	0	NA	0	12.4697449182839	0	37.218071961786
ABHD17A	NA	NA	NA	NA	4782.67099865993	74046.774678298	NA
ABHD17B	NA	NA	NA	NA	1375.38624861873	0	NA
ABHD17C	NA	1	1	1	1250.27945143836	NA	NA
ABHD2	2627.77046397055	1775.02665819404	0	NA	1001.5650220007	NA	NA
ABHD3	NA	NA	NA	NA	NA	0	NA
ABHD4	0	1375.07524356899	NA	NA	784.078687989015	NA	0
ABHD5	NA	1	1	1	998.318631846427	NA	NA
ABHD6	NA	1	NA	NA	863.416774261404	NA	NA
ABHD8	NA	NA	NA	0	NA	NA	NA
ABI1	NA	1	1	1	2499.36618377824	NA	1
ABI2	NA	NA	NA	2940.42361231034	NA	NA	NA
ABI3	1	1	1	1	297.111944417976	NA	NA
ABI3BP	NA	3793.19696137644	NA	3266.39214356903	2392.64045828069	NA	NA
ABL1	NA	3257.66953737723	NA	NA	1896.3726377815	NA	NA
ABL2	NA	1	1	NA	1262.58988326417	NA	1
ABLIM1	NA	NA	1	1	7207.34070161682	NA	NA
ABLIM2	1	NA	1	1	288.364154105838	NA	1
ABLIM3	0	NA	NA	NA	298.580401365777	3135.06336349546	0
ABO	0	NA	NA	NA	NA	NA	NA
ABR	8040.42672811967	5021.79223902311	NA	NA	NA	NA	NA
ABRA	NA	0	NA	NA	NA	3294.53094394765	NA
ABRACL	NA	NA	NA	1	2540.12853287994	1	NA
ABT1	NA	NA	1727.18993261436	3047.95371321324	747.710448285873	NA	2721.28995960963
ABTB1	NA	0	NA	NA	708.803552756255	0	NA
ABTB2	NA	NA	NA	NA	277.074231212677	NA	NA
AC000111.3	78.233321169886	0	0	NA	NA	NA	324.597898742383
AC002059.10	0	NA	NA	NA	140.941624808412	NA	1534.26293076262
AC002064.5	307.544573551446	0	NA	NA	NA	0	314.973860200353
AC003973.4	214.447930437894	NA	NA	NA	NA	1924.93053059787	NA
AC003989.4	0	NA	NA	551.310244368004	NA	0	0
AC004692.5	1176.69066156161	NA	4780.79959965689	1575.9437371352	589.058142916691	12368.6464698569	NA
AC004941.5	0	NA	NA	NA	NA	NA	NA
AC005162.4	70.5413667320757	52.4648934461031	45.447859216348	NA	12.824866163508	0	146.978728929333
AC005224.2	0	NA	NA	301.044339803382	95.9669499171957	NA	NA
AC005256.1	176.226389516076	0	NA	NA	NA	0	162.568206802885
AC005306.3	560.485051015158	249.810441922779	NA	NA	NA	NA	NA
AC005498.3	NA	NA	0	131.179535389405	NA	NA	430.606836258033
AC005523.2	NA	NA	0	NA	NA	0	0
AC005523.3	NA	NA	NA	NA	16.0085475587661	NA	97.7102760247166
AC005537.2	0	NA	0	113.409216564331	NA	NA	NA
AC005592.3	0	119.467902351743	0	69.6001929276197	48.0950195088159	NA	NA
AC005606.14	65.5050270917916	89.2749118948573	NA	NA	16.4797062289074	401.525886084008	128.517750591545
AC005785.2	0	NA	NA	184.309314655101	97.3044005574183	1983.82323824396	330.708407489363
AC005838.2	NA	NA	0	0	NA	0	NA
AC006026.13	NA	0	350.32807803446	NA	170.760709778727	NA	1310.47554875116
AC006129.2	0	0	16.9215311394301	13.6654861211275	NA	0	0
AC006538.1	NA	112.890407848424	342.574751120148	NA	51.3436663751591	NA	NA
AC007292.3	NA	NA	0	658.121851833645	272.234183340487	1687.2682367752	NA
AC007349.5	NA	0	NA	0	NA	1356.35688058604	NA
AC007362.3	0	0	0	0	34.2009528197259	NA	0
AC007365.3	NA	383.758610011741	0	339.601211884406	NA	NA	NA
AC007389.3	NA	NA	NA	NA	NA	0	NA
AC007401.2	0	NA	NA	NA	110.065925188701	3130.40486852816	0
AC007680.2	0	11.9239799538368	103.055446576676	NA	10.3864602095483	0	36.628884753431
AC007787.2	49.7691345443525	39.1546432667116	0	NA	0	0	NA
